,date,Infected,Area
1,2019-12-30,7,Dhaka_inner
2,2019-12-29,3,Dhaka_inner
3,2019-12-28,6,Dhaka_inner
4,2019-12-27,13,Dhaka_inner
5,2019-12-26,13,Dhaka_inner
6,2019-12-25,7,Dhaka_inner
7,2019-12-24,7,Dhaka_inner
8,2019-12-23,18,Dhaka_inner
9,2019-12-22,10,Dhaka_inner
10,2019-12-21,9,Dhaka_inner
11,2019-12-20,16,Dhaka_inner
12,2019-12-19,15,Dhaka_inner
13,2019-12-18,21,Dhaka_inner
14,2019-12-17,30,Dhaka_inner
15,2019-12-16,14,Dhaka_inner
16,2019-12-15,21,Dhaka_inner
17,2019-12-14,26,Dhaka_inner
18,2019-12-13,24,Dhaka_inner
19,2019-12-12,27,Dhaka_inner
20,2019-12-11,24,Dhaka_inner
21,2019-12-10,27,Dhaka_inner
22,2019-12-09,37,Dhaka_inner
23,2019-12-08,28,Dhaka_inner
24,2019-12-07,25,Dhaka_inner
25,2019-12-06,26,Dhaka_inner
26,2019-12-05,50,Dhaka_inner
27,2019-12-04,37,Dhaka_inner
28,2019-12-03,39,Dhaka_inner
29,2019-12-02,45,Dhaka_inner
30,2019-12-01,51,Dhaka_inner
31,2019-11-30,49,Dhaka_inner
32,2019-11-29,37,Dhaka_inner
33,2019-11-28,43,Dhaka_inner
34,2019-11-27,48,Dhaka_inner
35,2019-11-26,46,Dhaka_inner
36,2019-11-25,53,Dhaka_inner
37,2019-11-24,46,Dhaka_inner
38,2019-11-23,32,Dhaka_inner
39,2019-11-22,48,Dhaka_inner
40,2019-11-21,57,Dhaka_inner
41,2019-11-20,48,Dhaka_inner
42,2019-11-19,47,Dhaka_inner
43,2019-11-18,48,Dhaka_inner
44,2019-11-17,48,Dhaka_inner
45,2019-11-16,56,Dhaka_inner
46,2019-11-15,34,Dhaka_inner
47,2019-11-14,59,Dhaka_inner
48,2019-11-13,59,Dhaka_inner
49,2019-11-12,58,Dhaka_inner
50,2019-11-11,56,Dhaka_inner
51,2019-11-10,48,Dhaka_inner
52,2019-11-09,54,Dhaka_inner
53,2019-11-08,57,Dhaka_inner
54,2019-11-07,57,Dhaka_inner
55,2019-11-06,65,Dhaka_inner
56,2019-11-05,75,Dhaka_inner
57,2019-11-04,54,Dhaka_inner
58,2019-11-03,56,Dhaka_inner
59,2019-11-02,57,Dhaka_inner
60,2019-11-01,72,Dhaka_inner
61,2019-10-31,73,Dhaka_inner
62,2019-10-30,89,Dhaka_inner
63,2019-10-29,104,Dhaka_inner
64,2019-10-28,89,Dhaka_inner
65,2019-10-27,74,Dhaka_inner
66,2019-10-26,88,Dhaka_inner
67,2019-10-25,70,Dhaka_inner
68,2019-10-24,74,Dhaka_inner
69,2019-10-23,89,Dhaka_inner
70,2019-10-22,79,Dhaka_inner
71,2019-10-21,75,Dhaka_inner
72,2019-10-20,94,Dhaka_inner
73,2019-10-19,62,Dhaka_inner
74,2019-10-18,57,Dhaka_inner
75,2019-10-17,73,Dhaka_inner
76,2019-10-16,95,Dhaka_inner
77,2019-10-15,92,Dhaka_inner
78,2019-10-14,86,Dhaka_inner
79,2019-10-13,100,Dhaka_inner
80,2019-10-12,72,Dhaka_inner
81,2019-10-11,55,Dhaka_inner
82,2019-10-10,91,Dhaka_inner
83,2019-10-09,61,Dhaka_inner
84,2019-10-08,63,Dhaka_inner
85,2019-10-07,90,Dhaka_inner
86,2019-10-06,73,Dhaka_inner
87,2019-10-05,60,Dhaka_inner
88,2019-10-04,78,Dhaka_inner
89,2019-10-03,100,Dhaka_inner
90,2019-10-02,102,Dhaka_inner
91,2019-10-01,106,Dhaka_inner
92,2019-09-30,100,Dhaka_inner
93,2019-09-29,98,Dhaka_inner
94,2019-09-28,102,Dhaka_inner
95,2019-09-27,82,Dhaka_inner
96,2019-09-26,117,Dhaka_inner
97,2019-09-25,131,Dhaka_inner
98,2019-09-24,131,Dhaka_inner
99,2019-09-23,143,Dhaka_inner
100,2019-09-22,132,Dhaka_inner
101,2019-09-21,135,Dhaka_inner
102,2019-09-20,165,Dhaka_inner
103,2019-09-19,159,Dhaka_inner
104,2019-09-18,175,Dhaka_inner
105,2019-09-17,198,Dhaka_inner
106,2019-09-16,193,Dhaka_inner
107,2019-09-15,163,Dhaka_inner
108,2019-09-14,156,Dhaka_inner
109,2019-09-13,229,Dhaka_inner
110,2019-09-12,237,Dhaka_inner
111,2019-09-11,221,Dhaka_inner
112,2019-09-10,294,Dhaka_inner
113,2019-09-09,300,Dhaka_inner
114,2019-09-08,314,Dhaka_inner
115,2019-09-07,233,Dhaka_inner
116,2019-09-06,325,Dhaka_inner
117,2019-09-05,331,Dhaka_inner
118,2019-09-04,345,Dhaka_inner
119,2019-09-03,344,Dhaka_inner
120,2019-09-02,396,Dhaka_inner
121,2019-09-01,405,Dhaka_inner
122,2019-08-31,349,Dhaka_inner
123,2019-08-30,465,Dhaka_inner
124,2019-08-29,524,Dhaka_inner
125,2019-08-28,551,Dhaka_inner
126,2019-08-27,608,Dhaka_inner
127,2019-08-26,577,Dhaka_inner
128,2019-08-25,607,Dhaka_inner
129,2019-08-24,570,Dhaka_inner
