,date,Infected_Cases,Area
0,2016-01-01,1,Dhaka
1,2016-01-02,0,Dhaka
2,2016-01-03,0,Dhaka
3,2016-01-04,1,Dhaka
4,2016-01-05,2,Dhaka
5,2016-01-06,0,Dhaka
6,2016-01-07,0,Dhaka
7,2016-01-08,1,Dhaka
8,2016-01-09,2,Dhaka
9,2016-01-10,1,Dhaka
10,2016-01-11,1,Dhaka
11,2016-01-12,0,Dhaka
12,2016-01-13,0,Dhaka
13,2016-01-14,0,Dhaka
14,2016-01-15,0,Dhaka
15,2016-01-16,1,Dhaka
16,2016-01-17,0,Dhaka
17,2016-01-18,0,Dhaka
18,2016-01-19,0,Dhaka
19,2016-01-20,1,Dhaka
20,2016-01-21,0,Dhaka
21,2016-01-22,2,Dhaka
22,2016-01-23,0,Dhaka
23,2016-01-24,0,Dhaka
24,2016-01-25,1,Dhaka
25,2016-01-26,0,Dhaka
26,2016-01-27,0,Dhaka
27,2016-01-28,0,Dhaka
28,2016-01-29,0,Dhaka
29,2016-01-30,0,Dhaka
30,2016-01-31,0,Dhaka
31,2016-02-01,0,Dhaka
32,2016-02-02,0,Dhaka
33,2016-02-03,0,Dhaka
34,2016-02-04,0,Dhaka
35,2016-02-05,0,Dhaka
36,2016-02-06,1,Dhaka
37,2016-02-07,0,Dhaka
38,2016-02-08,0,Dhaka
39,2016-02-09,0,Dhaka
40,2016-02-10,0,Dhaka
41,2016-02-11,0,Dhaka
42,2016-02-12,1,Dhaka
43,2016-02-13,0,Dhaka
44,2016-02-14,0,Dhaka
45,2016-02-15,0,Dhaka
46,2016-02-16,0,Dhaka
47,2016-02-17,0,Dhaka
48,2016-02-18,1,Dhaka
49,2016-02-19,0,Dhaka
50,2016-02-20,0,Dhaka
51,2016-02-21,0,Dhaka
52,2016-02-22,0,Dhaka
53,2016-02-23,0,Dhaka
54,2016-02-24,0,Dhaka
55,2016-02-25,0,Dhaka
56,2016-02-26,0,Dhaka
57,2016-02-27,0,Dhaka
58,2016-02-28,0,Dhaka
59,2016-02-29,0,Dhaka
60,2016-03-01,0,Dhaka
61,2016-03-02,0,Dhaka
62,2016-03-03,1,Dhaka
63,2016-03-04,0,Dhaka
64,2016-03-05,0,Dhaka
65,2016-03-06,0,Dhaka
66,2016-03-07,0,Dhaka
67,2016-03-08,0,Dhaka
68,2016-03-09,0,Dhaka
69,2016-03-10,0,Dhaka
70,2016-03-11,0,Dhaka
71,2016-03-12,1,Dhaka
72,2016-03-13,1,Dhaka
73,2016-03-14,0,Dhaka
74,2016-03-15,1,Dhaka
75,2016-03-16,1,Dhaka
76,2016-03-17,2,Dhaka
77,2016-03-18,0,Dhaka
78,2016-03-19,0,Dhaka
79,2016-03-20,2,Dhaka
80,2016-03-21,1,Dhaka
81,2016-03-22,0,Dhaka
82,2016-03-23,0,Dhaka
83,2016-03-24,1,Dhaka
84,2016-03-25,0,Dhaka
85,2016-03-26,2,Dhaka
86,2016-03-27,1,Dhaka
87,2016-03-28,1,Dhaka
88,2016-03-29,0,Dhaka
89,2016-03-30,0,Dhaka
90,2016-03-31,0,Dhaka
91,2016-04-01,0,Dhaka
92,2016-04-02,0,Dhaka
93,2016-04-03,2,Dhaka
94,2016-04-04,2,Dhaka
95,2016-04-05,0,Dhaka
96,2016-04-06,1,Dhaka
97,2016-04-07,0,Dhaka
98,2016-04-08,1,Dhaka
99,2016-04-09,2,Dhaka
100,2016-04-10,3,Dhaka
101,2016-04-11,2,Dhaka
102,2016-04-12,1,Dhaka
103,2016-04-13,2,Dhaka
104,2016-04-14,2,Dhaka
105,2016-04-15,2,Dhaka
106,2016-04-16,0,Dhaka
107,2016-04-17,1,Dhaka
108,2016-04-18,4,Dhaka
109,2016-04-19,0,Dhaka
110,2016-04-20,0,Dhaka
111,2016-04-21,1,Dhaka
112,2016-04-22,3,Dhaka
113,2016-04-23,0,Dhaka
114,2016-04-24,2,Dhaka
115,2016-04-25,3,Dhaka
116,2016-04-26,1,Dhaka
117,2016-04-27,2,Dhaka
118,2016-04-28,1,Dhaka
119,2016-04-29,1,Dhaka
120,2016-04-30,3,Dhaka
121,2016-05-01,1,Dhaka
122,2016-05-02,2,Dhaka
123,2016-05-03,1,Dhaka
124,2016-05-04,4,Dhaka
125,2016-05-05,0,Dhaka
126,2016-05-06,2,Dhaka
127,2016-05-07,0,Dhaka
128,2016-05-08,2,Dhaka
129,2016-05-09,0,Dhaka
130,2016-05-10,3,Dhaka
131,2016-05-11,1,Dhaka
132,2016-05-12,2,Dhaka
133,2016-05-13,3,Dhaka
134,2016-05-14,2,Dhaka
135,2016-05-15,3,Dhaka
136,2016-05-16,0,Dhaka
137,2016-05-17,4,Dhaka
138,2016-05-18,2,Dhaka
139,2016-05-19,3,Dhaka
140,2016-05-20,1,Dhaka
141,2016-05-21,0,Dhaka
142,2016-05-22,2,Dhaka
143,2016-05-23,7,Dhaka
144,2016-05-24,0,Dhaka
145,2016-05-25,1,Dhaka
146,2016-05-26,3,Dhaka
147,2016-05-27,4,Dhaka
148,2016-05-28,3,Dhaka
149,2016-05-29,3,Dhaka
150,2016-05-30,1,Dhaka
151,2016-05-31,6,Dhaka
152,2016-06-01,4,Dhaka
153,2016-06-02,3,Dhaka
154,2016-06-03,2,Dhaka
155,2016-06-04,1,Dhaka
156,2016-06-05,2,Dhaka
157,2016-06-06,4,Dhaka
158,2016-06-07,5,Dhaka
159,2016-06-08,4,Dhaka
160,2016-06-09,5,Dhaka
161,2016-06-10,3,Dhaka
162,2016-06-11,2,Dhaka
163,2016-06-12,4,Dhaka
164,2016-06-13,8,Dhaka
165,2016-06-14,10,Dhaka
166,2016-06-15,14,Dhaka
167,2016-06-16,10,Dhaka
168,2016-06-17,6,Dhaka
169,2016-06-18,7,Dhaka
170,2016-06-19,12,Dhaka
171,2016-06-20,11,Dhaka
172,2016-06-21,8,Dhaka
173,2016-06-22,8,Dhaka
174,2016-06-23,14,Dhaka
175,2016-06-24,9,Dhaka
176,2016-06-25,13,Dhaka
177,2016-06-26,19,Dhaka
178,2016-06-27,8,Dhaka
179,2016-06-28,11,Dhaka
180,2016-06-29,21,Dhaka
181,2016-06-30,17,Dhaka
182,2016-07-01,19,Dhaka
183,2016-07-02,14,Dhaka
184,2016-07-03,12,Dhaka
185,2016-07-04,13,Dhaka
186,2016-07-05,14,Dhaka
187,2016-07-06,12,Dhaka
188,2016-07-07,11,Dhaka
189,2016-07-08,11,Dhaka
190,2016-07-09,10,Dhaka
191,2016-07-10,11,Dhaka
192,2016-07-11,34,Dhaka
193,2016-07-12,31,Dhaka
194,2016-07-13,30,Dhaka
195,2016-07-14,22,Dhaka
196,2016-07-15,17,Dhaka
197,2016-07-16,40,Dhaka
198,2016-07-17,48,Dhaka
199,2016-07-18,33,Dhaka
200,2016-07-19,34,Dhaka
201,2016-07-20,34,Dhaka
202,2016-07-21,45,Dhaka
203,2016-07-22,22,Dhaka
204,2016-07-23,35,Dhaka
205,2016-07-24,42,Dhaka
206,2016-07-25,36,Dhaka
207,2016-07-26,43,Dhaka
208,2016-07-27,38,Dhaka
209,2016-07-28,40,Dhaka
210,2016-07-29,55,Dhaka
211,2016-07-30,43,Dhaka
212,2016-07-31,41,Dhaka
213,2016-08-01,47,Dhaka
214,2016-08-02,44,Dhaka
215,2016-08-03,26,Dhaka
216,2016-08-04,50,Dhaka
217,2016-08-05,31,Dhaka
218,2016-08-06,47,Dhaka
219,2016-08-07,48,Dhaka
220,2016-08-08,45,Dhaka
221,2016-08-09,51,Dhaka
222,2016-08-10,36,Dhaka
223,2016-08-11,42,Dhaka
224,2016-08-12,59,Dhaka
225,2016-08-13,43,Dhaka
226,2016-08-14,53,Dhaka
227,2016-08-15,33,Dhaka
228,2016-08-16,51,Dhaka
229,2016-08-17,59,Dhaka
230,2016-08-18,38,Dhaka
231,2016-08-19,48,Dhaka
232,2016-08-20,47,Dhaka
233,2016-08-21,26,Dhaka
234,2016-08-22,60,Dhaka
235,2016-08-23,46,Dhaka
236,2016-08-24,45,Dhaka
237,2016-08-25,45,Dhaka
238,2016-08-26,31,Dhaka
239,2016-08-27,68,Dhaka
240,2016-08-28,34,Dhaka
241,2016-08-29,65,Dhaka
242,2016-08-30,53,Dhaka
243,2016-08-31,52,Dhaka
244,2016-09-01,74,Dhaka
245,2016-09-02,45,Dhaka
246,2016-09-03,64,Dhaka
247,2016-09-04,73,Dhaka
248,2016-09-05,66,Dhaka
249,2016-09-06,60,Dhaka
250,2016-09-07,50,Dhaka
251,2016-09-08,62,Dhaka
252,2016-09-09,30,Dhaka
253,2016-09-10,49,Dhaka
254,2016-09-11,30,Dhaka
255,2016-09-12,28,Dhaka
256,2016-09-13,11,Dhaka
257,2016-09-14,28,Dhaka
258,2016-09-15,51,Dhaka
259,2016-09-16,32,Dhaka
260,2016-09-17,57,Dhaka
261,2016-09-18,55,Dhaka
262,2016-09-19,51,Dhaka
263,2016-09-20,41,Dhaka
264,2016-09-21,52,Dhaka
265,2016-09-22,53,Dhaka
266,2016-09-23,34,Dhaka
267,2016-09-24,56,Dhaka
268,2016-09-25,30,Dhaka
269,2016-09-26,53,Dhaka
270,2016-09-27,53,Dhaka
271,2016-09-28,69,Dhaka
272,2016-09-29,66,Dhaka
273,2016-09-30,37,Dhaka
274,2016-10-01,62,Dhaka
275,2016-10-02,47,Dhaka
276,2016-10-03,48,Dhaka
277,2016-10-04,57,Dhaka
278,2016-10-05,39,Dhaka
279,2016-10-06,49,Dhaka
280,2016-10-07,20,Dhaka
281,2016-10-08,47,Dhaka
282,2016-10-09,57,Dhaka
283,2016-10-10,18,Dhaka
284,2016-10-11,20,Dhaka
285,2016-10-12,22,Dhaka
286,2016-10-13,38,Dhaka
287,2016-10-14,28,Dhaka
288,2016-10-15,34,Dhaka
289,2016-10-16,30,Dhaka
290,2016-10-17,35,Dhaka
291,2016-10-18,22,Dhaka
292,2016-10-19,28,Dhaka
293,2016-10-20,28,Dhaka
294,2016-10-21,19,Dhaka
295,2016-10-22,20,Dhaka
296,2016-10-23,43,Dhaka
297,2016-10-24,30,Dhaka
298,2016-10-25,21,Dhaka
299,2016-10-26,31,Dhaka
300,2016-10-27,28,Dhaka
301,2016-10-28,22,Dhaka
302,2016-10-29,31,Dhaka
303,2016-10-30,27,Dhaka
304,2016-10-31,33,Dhaka
305,2016-11-01,18,Dhaka
306,2016-11-02,30,Dhaka
307,2016-11-03,22,Dhaka
308,2016-11-04,21,Dhaka
309,2016-11-05,33,Dhaka
310,2016-11-06,16,Dhaka
311,2016-11-07,26,Dhaka
312,2016-11-08,15,Dhaka
313,2016-11-09,18,Dhaka
314,2016-11-10,28,Dhaka
315,2016-11-11,9,Dhaka
316,2016-11-12,19,Dhaka
317,2016-11-13,12,Dhaka
318,2016-11-14,26,Dhaka
319,2016-11-15,23,Dhaka
320,2016-11-16,17,Dhaka
321,2016-11-17,18,Dhaka
322,2016-11-18,10,Dhaka
323,2016-11-19,12,Dhaka
324,2016-11-20,15,Dhaka
325,2016-11-21,18,Dhaka
326,2016-11-22,15,Dhaka
327,2016-11-23,8,Dhaka
328,2016-11-24,8,Dhaka
329,2016-11-25,17,Dhaka
330,2016-11-26,16,Dhaka
331,2016-11-27,16,Dhaka
332,2016-11-28,13,Dhaka
333,2016-11-29,15,Dhaka
334,2016-11-30,8,Dhaka
335,2016-12-01,14,Dhaka
336,2016-12-02,8,Dhaka
337,2016-12-03,9,Dhaka
338,2016-12-04,7,Dhaka
339,2016-12-05,7,Dhaka
340,2016-12-06,8,Dhaka
341,2016-12-07,14,Dhaka
342,2016-12-08,10,Dhaka
343,2016-12-09,6,Dhaka
344,2016-12-10,10,Dhaka
345,2016-12-11,2,Dhaka
346,2016-12-12,3,Dhaka
347,2016-12-13,4,Dhaka
348,2016-12-14,7,Dhaka
349,2016-12-15,1,Dhaka
350,2016-12-16,3,Dhaka
351,2016-12-17,2,Dhaka
352,2016-12-18,8,Dhaka
353,2016-12-19,5,Dhaka
354,2016-12-20,4,Dhaka
355,2016-12-21,3,Dhaka
356,2016-12-22,1,Dhaka
357,2016-12-26,1,Dhaka
358,2016-12-27,1,Dhaka
359,2016-12-28,0,Dhaka
360,2016-12-29,0,Dhaka
361,2016-12-31,0,Dhaka
362,2016-12-30,1,Dhaka
