,date,Infected,Area
0,2016-01-01,0,Khulna
1,2016-01-02,0,Khulna
2,2016-01-03,0,Khulna
3,2016-01-04,0,Khulna
4,2016-01-05,0,Khulna
5,2016-01-06,0,Khulna
6,2016-01-07,0,Khulna
7,2016-01-08,0,Khulna
8,2016-01-09,0,Khulna
9,2016-01-10,0,Khulna
10,2016-01-11,0,Khulna
11,2016-01-12,0,Khulna
12,2016-01-13,0,Khulna
13,2016-01-14,0,Khulna
14,2016-01-15,0,Khulna
15,2016-01-16,0,Khulna
16,2016-01-17,0,Khulna
17,2016-01-18,0,Khulna
18,2016-01-19,0,Khulna
19,2016-01-20,0,Khulna
20,2016-01-21,0,Khulna
21,2016-01-22,0,Khulna
22,2016-01-23,0,Khulna
23,2016-01-24,0,Khulna
24,2016-01-25,0,Khulna
25,2016-01-26,0,Khulna
26,2016-01-27,0,Khulna
27,2016-01-28,0,Khulna
28,2016-01-29,0,Khulna
29,2016-01-30,0,Khulna
30,2016-01-31,0,Khulna
31,2016-02-01,0,Khulna
32,2016-02-02,0,Khulna
33,2016-02-03,0,Khulna
34,2016-02-04,0,Khulna
35,2016-02-05,0,Khulna
36,2016-02-06,0,Khulna
37,2016-02-07,0,Khulna
38,2016-02-08,0,Khulna
39,2016-02-09,0,Khulna
40,2016-02-10,0,Khulna
41,2016-02-11,0,Khulna
42,2016-02-12,0,Khulna
43,2016-02-13,0,Khulna
44,2016-02-14,0,Khulna
45,2016-02-15,0,Khulna
46,2016-02-16,0,Khulna
47,2016-02-17,0,Khulna
48,2016-02-18,0,Khulna
49,2016-02-19,0,Khulna
50,2016-02-20,0,Khulna
51,2016-02-21,0,Khulna
52,2016-02-22,0,Khulna
53,2016-02-23,0,Khulna
54,2016-02-24,0,Khulna
55,2016-02-25,0,Khulna
56,2016-02-26,0,Khulna
57,2016-02-27,0,Khulna
58,2016-02-28,0,Khulna
59,2016-02-29,0,Khulna
60,2016-03-01,0,Khulna
61,2016-03-02,0,Khulna
62,2016-03-03,0,Khulna
63,2016-03-04,0,Khulna
64,2016-03-05,0,Khulna
65,2016-03-06,0,Khulna
66,2016-03-07,0,Khulna
67,2016-03-08,0,Khulna
68,2016-03-09,0,Khulna
69,2016-03-10,0,Khulna
70,2016-03-11,0,Khulna
71,2016-03-12,0,Khulna
72,2016-03-13,0,Khulna
73,2016-03-14,0,Khulna
74,2016-03-15,0,Khulna
75,2016-03-16,0,Khulna
76,2016-03-17,0,Khulna
77,2016-03-18,0,Khulna
78,2016-03-19,0,Khulna
79,2016-03-20,0,Khulna
80,2016-03-21,0,Khulna
81,2016-03-22,0,Khulna
82,2016-03-23,0,Khulna
83,2016-03-24,0,Khulna
84,2016-03-25,0,Khulna
85,2016-03-26,0,Khulna
86,2016-03-27,0,Khulna
87,2016-03-28,0,Khulna
88,2016-03-29,0,Khulna
89,2016-03-30,0,Khulna
90,2016-03-31,0,Khulna
91,2016-04-01,0,Khulna
92,2016-04-02,0,Khulna
93,2016-04-03,0,Khulna
94,2016-04-04,0,Khulna
95,2016-04-05,0,Khulna
96,2016-04-06,0,Khulna
97,2016-04-07,0,Khulna
98,2016-04-08,0,Khulna
99,2016-04-09,0,Khulna
100,2016-04-10,0,Khulna
101,2016-04-11,0,Khulna
102,2016-04-12,0,Khulna
103,2016-04-13,0,Khulna
104,2016-04-14,0,Khulna
105,2016-04-15,0,Khulna
106,2016-04-16,0,Khulna
107,2016-04-17,0,Khulna
108,2016-04-18,0,Khulna
109,2016-04-19,0,Khulna
110,2016-04-20,0,Khulna
111,2016-04-21,0,Khulna
112,2016-04-22,0,Khulna
113,2016-04-23,0,Khulna
114,2016-04-24,0,Khulna
115,2016-04-25,0,Khulna
116,2016-04-26,0,Khulna
117,2016-04-27,0,Khulna
118,2016-04-28,0,Khulna
119,2016-04-29,0,Khulna
120,2016-04-30,0,Khulna
121,2016-05-01,0,Khulna
122,2016-05-02,0,Khulna
123,2016-05-03,0,Khulna
124,2016-05-04,0,Khulna
125,2016-05-05,0,Khulna
126,2016-05-06,0,Khulna
127,2016-05-07,0,Khulna
128,2016-05-08,0,Khulna
129,2016-05-09,0,Khulna
130,2016-05-10,0,Khulna
131,2016-05-11,0,Khulna
132,2016-05-12,0,Khulna
133,2016-05-13,0,Khulna
134,2016-05-14,0,Khulna
135,2016-05-15,0,Khulna
136,2016-05-16,0,Khulna
137,2016-05-17,0,Khulna
138,2016-05-18,0,Khulna
139,2016-05-19,0,Khulna
140,2016-05-20,0,Khulna
141,2016-05-21,0,Khulna
142,2016-05-22,0,Khulna
143,2016-05-23,0,Khulna
144,2016-05-24,0,Khulna
145,2016-05-25,0,Khulna
146,2016-05-26,0,Khulna
147,2016-05-27,0,Khulna
148,2016-05-28,0,Khulna
149,2016-05-29,0,Khulna
150,2016-05-30,0,Khulna
151,2016-05-31,0,Khulna
152,2016-06-01,0,Khulna
153,2016-06-02,0,Khulna
154,2016-06-03,0,Khulna
155,2016-06-04,0,Khulna
156,2016-06-05,0,Khulna
157,2016-06-06,0,Khulna
158,2016-06-07,0,Khulna
159,2016-06-08,0,Khulna
160,2016-06-09,0,Khulna
161,2016-06-10,0,Khulna
162,2016-06-11,0,Khulna
163,2016-06-12,0,Khulna
164,2016-06-13,0,Khulna
165,2016-06-14,0,Khulna
166,2016-06-15,0,Khulna
167,2016-06-16,0,Khulna
168,2016-06-17,0,Khulna
169,2016-06-18,0,Khulna
170,2016-06-19,0,Khulna
171,2016-06-20,0,Khulna
172,2016-06-21,0,Khulna
173,2016-06-22,0,Khulna
174,2016-06-23,0,Khulna
175,2016-06-24,0,Khulna
176,2016-06-25,0,Khulna
177,2016-06-26,0,Khulna
178,2016-06-27,0,Khulna
179,2016-06-28,0,Khulna
180,2016-06-29,0,Khulna
181,2016-06-30,0,Khulna
182,2016-07-01,0,Khulna
183,2016-07-02,0,Khulna
184,2016-07-03,0,Khulna
185,2016-07-04,0,Khulna
186,2016-07-05,0,Khulna
187,2016-07-06,0,Khulna
188,2016-07-07,0,Khulna
189,2016-07-08,0,Khulna
190,2016-07-09,0,Khulna
191,2016-07-10,0,Khulna
192,2016-07-11,0,Khulna
193,2016-07-12,0,Khulna
194,2016-07-13,0,Khulna
195,2016-07-14,0,Khulna
196,2016-07-15,0,Khulna
197,2016-07-16,0,Khulna
198,2016-07-17,0,Khulna
199,2016-07-18,0,Khulna
200,2016-07-19,0,Khulna
201,2016-07-20,0,Khulna
202,2016-07-21,0,Khulna
203,2016-07-22,0,Khulna
204,2016-07-23,0,Khulna
205,2016-07-24,0,Khulna
206,2016-07-25,0,Khulna
207,2016-07-26,0,Khulna
208,2016-07-27,0,Khulna
209,2016-07-28,0,Khulna
210,2016-07-29,0,Khulna
211,2016-07-30,0,Khulna
212,2016-07-31,0,Khulna
213,2016-08-01,0,Khulna
214,2016-08-02,0,Khulna
215,2016-08-03,0,Khulna
216,2016-08-04,0,Khulna
217,2016-08-05,0,Khulna
218,2016-08-06,0,Khulna
219,2016-08-07,0,Khulna
220,2016-08-08,0,Khulna
221,2016-08-09,0,Khulna
222,2016-08-10,0,Khulna
223,2016-08-11,0,Khulna
224,2016-08-12,0,Khulna
225,2016-08-13,0,Khulna
226,2016-08-14,0,Khulna
227,2016-08-15,0,Khulna
228,2016-08-16,0,Khulna
229,2016-08-17,0,Khulna
230,2016-08-18,0,Khulna
231,2016-08-19,0,Khulna
232,2016-08-20,0,Khulna
233,2016-08-21,0,Khulna
234,2016-08-22,0,Khulna
235,2016-08-23,0,Khulna
236,2016-08-24,0,Khulna
237,2016-08-25,0,Khulna
238,2016-08-26,0,Khulna
239,2016-08-27,0,Khulna
240,2016-08-28,0,Khulna
241,2016-08-29,0,Khulna
242,2016-08-30,0,Khulna
243,2016-08-31,0,Khulna
244,2016-09-01,0,Khulna
245,2016-09-02,0,Khulna
246,2016-09-03,0,Khulna
247,2016-09-04,0,Khulna
248,2016-09-05,0,Khulna
249,2016-09-06,0,Khulna
250,2016-09-07,0,Khulna
251,2016-09-08,0,Khulna
252,2016-09-09,0,Khulna
253,2016-09-10,0,Khulna
254,2016-09-11,0,Khulna
255,2016-09-12,0,Khulna
256,2016-09-13,0,Khulna
257,2016-09-14,0,Khulna
258,2016-09-15,0,Khulna
259,2016-09-16,0,Khulna
260,2016-09-17,0,Khulna
261,2016-09-18,0,Khulna
262,2016-09-19,0,Khulna
263,2016-09-20,0,Khulna
264,2016-09-21,0,Khulna
265,2016-09-22,0,Khulna
266,2016-09-23,0,Khulna
267,2016-09-24,0,Khulna
268,2016-09-25,0,Khulna
269,2016-09-26,0,Khulna
270,2016-09-27,0,Khulna
271,2016-09-28,0,Khulna
272,2016-09-29,0,Khulna
273,2016-09-30,0,Khulna
274,2016-10-01,0,Khulna
275,2016-10-02,0,Khulna
276,2016-10-03,0,Khulna
277,2016-10-04,0,Khulna
278,2016-10-05,0,Khulna
279,2016-10-06,0,Khulna
280,2016-10-07,0,Khulna
281,2016-10-08,0,Khulna
282,2016-10-09,0,Khulna
283,2016-10-10,0,Khulna
284,2016-10-11,0,Khulna
285,2016-10-12,0,Khulna
286,2016-10-13,0,Khulna
287,2016-10-14,0,Khulna
288,2016-10-15,0,Khulna
289,2016-10-16,0,Khulna
290,2016-10-17,0,Khulna
