,date,Infected,Area
0,2016-01-01,0,Rajshahi
1,2016-01-02,0,Rajshahi
2,2016-01-03,0,Rajshahi
3,2016-01-04,0,Rajshahi
4,2016-01-05,0,Rajshahi
5,2016-01-06,0,Rajshahi
6,2016-01-07,0,Rajshahi
7,2016-01-08,0,Rajshahi
8,2016-01-09,0,Rajshahi
9,2016-01-10,0,Rajshahi
10,2016-01-11,0,Rajshahi
11,2016-01-12,0,Rajshahi
12,2016-01-13,0,Rajshahi
13,2016-01-14,0,Rajshahi
14,2016-01-15,0,Rajshahi
15,2016-01-16,0,Rajshahi
16,2016-01-17,0,Rajshahi
17,2016-01-18,0,Rajshahi
18,2016-01-19,0,Rajshahi
19,2016-01-20,0,Rajshahi
20,2016-01-21,0,Rajshahi
21,2016-01-22,0,Rajshahi
22,2016-01-23,0,Rajshahi
23,2016-01-24,0,Rajshahi
24,2016-01-25,0,Rajshahi
25,2016-01-26,0,Rajshahi
26,2016-01-27,0,Rajshahi
27,2016-01-28,0,Rajshahi
28,2016-01-29,0,Rajshahi
29,2016-01-30,0,Rajshahi
30,2016-01-31,0,Rajshahi
31,2016-02-01,0,Rajshahi
32,2016-02-02,0,Rajshahi
33,2016-02-03,0,Rajshahi
34,2016-02-04,0,Rajshahi
35,2016-02-05,0,Rajshahi
36,2016-02-06,0,Rajshahi
37,2016-02-07,0,Rajshahi
38,2016-02-08,0,Rajshahi
39,2016-02-09,0,Rajshahi
40,2016-02-10,0,Rajshahi
41,2016-02-11,0,Rajshahi
42,2016-02-12,0,Rajshahi
43,2016-02-13,0,Rajshahi
44,2016-02-14,0,Rajshahi
45,2016-02-15,0,Rajshahi
46,2016-02-16,0,Rajshahi
47,2016-02-17,0,Rajshahi
48,2016-02-18,0,Rajshahi
49,2016-02-19,0,Rajshahi
50,2016-02-20,0,Rajshahi
51,2016-02-21,0,Rajshahi
52,2016-02-22,0,Rajshahi
53,2016-02-23,0,Rajshahi
54,2016-02-24,0,Rajshahi
55,2016-02-25,0,Rajshahi
56,2016-02-26,0,Rajshahi
57,2016-02-27,0,Rajshahi
