,date,Infected,Area
0,2016-01-01,0,Rangpur
1,2016-01-02,0,Rangpur
2,2016-01-03,0,Rangpur
3,2016-01-04,0,Rangpur
4,2016-01-05,0,Rangpur
5,2016-01-06,0,Rangpur
6,2016-01-07,0,Rangpur
7,2016-01-08,0,Rangpur
8,2016-01-09,0,Rangpur
9,2016-01-10,0,Rangpur
10,2016-01-11,0,Rangpur
11,2016-01-12,0,Rangpur
12,2016-01-13,0,Rangpur
13,2016-01-14,0,Rangpur
14,2016-01-15,0,Rangpur
15,2016-01-16,0,Rangpur
16,2016-01-17,0,Rangpur
17,2016-01-18,0,Rangpur
18,2016-01-19,0,Rangpur
19,2016-01-20,0,Rangpur
20,2016-01-21,0,Rangpur
21,2016-01-22,0,Rangpur
22,2016-01-23,0,Rangpur
23,2016-01-24,0,Rangpur
24,2016-01-25,0,Rangpur
25,2016-01-26,0,Rangpur
26,2016-01-27,0,Rangpur
27,2016-01-28,0,Rangpur
28,2016-01-29,0,Rangpur
29,2016-01-30,0,Rangpur
30,2016-01-31,0,Rangpur
31,2016-02-01,0,Rangpur
32,2016-02-02,0,Rangpur
33,2016-02-03,0,Rangpur
34,2016-02-04,0,Rangpur
35,2016-02-05,0,Rangpur
36,2016-02-06,0,Rangpur
37,2016-02-07,0,Rangpur
38,2016-02-08,0,Rangpur
39,2016-02-09,0,Rangpur
40,2016-02-10,0,Rangpur
41,2016-02-11,0,Rangpur
42,2016-02-12,0,Rangpur
43,2016-02-13,0,Rangpur
44,2016-02-14,0,Rangpur
45,2016-02-15,0,Rangpur
46,2016-02-16,0,Rangpur
47,2016-02-17,0,Rangpur
48,2016-02-18,0,Rangpur
49,2016-02-19,0,Rangpur
50,2016-02-20,0,Rangpur
51,2016-02-21,0,Rangpur
52,2016-02-22,0,Rangpur
53,2016-02-23,0,Rangpur
54,2016-02-24,0,Rangpur
55,2016-02-25,0,Rangpur
56,2016-02-26,0,Rangpur
57,2016-02-27,0,Rangpur
58,2016-02-28,0,Rangpur
59,2016-02-29,0,Rangpur
60,2016-03-01,0,Rangpur
61,2016-03-02,0,Rangpur
62,2016-03-03,0,Rangpur
63,2016-03-04,0,Rangpur
64,2016-03-05,0,Rangpur
65,2016-03-06,0,Rangpur
66,2016-03-07,0,Rangpur
67,2016-03-08,0,Rangpur
68,2016-03-09,0,Rangpur
69,2016-03-10,0,Rangpur
70,2016-03-11,0,Rangpur
71,2016-03-12,0,Rangpur
72,2016-03-13,0,Rangpur
73,2016-03-14,0,Rangpur
74,2016-03-15,0,Rangpur
75,2016-03-16,0,Rangpur
76,2016-03-17,0,Rangpur
77,2016-03-18,0,Rangpur
78,2016-03-19,0,Rangpur
79,2016-03-20,0,Rangpur
80,2016-03-21,0,Rangpur
81,2016-03-22,0,Rangpur
82,2016-03-23,0,Rangpur
83,2016-03-24,0,Rangpur
84,2016-03-25,0,Rangpur
85,2016-03-26,0,Rangpur
86,2016-03-27,0,Rangpur
87,2016-03-28,0,Rangpur
