,date,Area,Infected_Cases,temp
0,2016-01-01,Dhaka,1.0,19.8
1,2016-01-02,Dhaka,0.0,20.1
2,2016-01-03,Dhaka,0.0,19.7
3,2016-01-04,Dhaka,1.0,20.8
4,2016-01-05,Dhaka,2.0,20.3
5,2016-01-06,Dhaka,0.0,20.1
6,2016-01-07,Dhaka,0.0,19.9
7,2016-01-08,Dhaka,1.0,20.4
8,2016-01-09,Dhaka,2.0,20.5
9,2016-01-10,Dhaka,1.0,19.3
10,2016-01-11,Dhaka,1.0,19.1
11,2016-01-12,Dhaka,0.0,18.6
12,2016-01-13,Dhaka,0.0,18.5
13,2016-01-14,Dhaka,0.0,19
14,2016-01-15,Dhaka,0.0,19.1
15,2016-01-16,Dhaka,1.0,19.7
16,2016-01-17,Dhaka,0.0,19.5
17,2016-01-18,Dhaka,0.0,19.8
18,2016-01-19,Dhaka,0.0,20
19,2016-01-20,Dhaka,1.0,18.3
20,2016-01-21,Dhaka,0.0,18.2
21,2016-01-22,Dhaka,2.0,16.2
22,2016-01-23,Dhaka,0.0,16.1
23,2016-01-24,Dhaka,0.0,16.1
24,2016-01-25,Dhaka,1.0,16.1
25,2016-01-26,Dhaka,0.0,15.6
26,2016-01-27,Dhaka,0.0,18.4
27,2016-01-28,Dhaka,0.0,19.2
28,2016-01-29,Dhaka,0.0,19.2
29,2016-01-30,Dhaka,0.0,18.9
30,2016-01-31,Dhaka,0.0,20.8
31,2016-02-01,Dhaka,0.0,21.3
32,2016-02-02,Dhaka,0.0,21.4
33,2016-02-03,Dhaka,0.0,22.1
34,2016-02-04,Dhaka,0.0,21.1
35,2016-02-05,Dhaka,0.0,19.9
36,2016-02-06,Dhaka,1.0,19.9
37,2016-02-07,Dhaka,0.0,21.2
38,2016-02-08,Dhaka,0.0,22.4
39,2016-02-09,Dhaka,0.0,23.4
40,2016-02-10,Dhaka,0.0,22
41,2016-02-11,Dhaka,0.0,23.1
42,2016-02-12,Dhaka,1.0,23.9
43,2016-02-13,Dhaka,0.0,22.8
44,2016-02-14,Dhaka,0.0,23.7
45,2016-02-15,Dhaka,0.0,24.9
46,2016-02-16,Dhaka,0.0,24.9
47,2016-02-17,Dhaka,0.0,24.7
48,2016-02-18,Dhaka,1.0,26.2
49,2016-02-19,Dhaka,0.0,27.3
50,2016-02-20,Dhaka,0.0,28
51,2016-02-21,Dhaka,0.0,28
52,2016-02-22,Dhaka,0.0,25.9
53,2016-02-23,Dhaka,0.0,26.2
54,2016-02-24,Dhaka,0.0,23.5
55,2016-02-25,Dhaka,0.0,24.9
56,2016-02-26,Dhaka,0.0,26.2
57,2016-02-27,Dhaka,0.0,25.9
58,2016-02-28,Dhaka,0.0,25.9
59,2016-02-29,Dhaka,0.0,0
60,2016-03-01,Dhaka,0.0,25.6
61,2016-03-02,Dhaka,0.0,25.8
62,2016-03-03,Dhaka,1.0,27.4
63,2016-03-04,Dhaka,0.0,27.3
64,2016-03-05,Dhaka,0.0,27.3
65,2016-03-06,Dhaka,0.0,26.3
66,2016-03-07,Dhaka,0.0,26.1
67,2016-03-08,Dhaka,0.0,27.3
68,2016-03-09,Dhaka,0.0,28.8
69,2016-03-10,Dhaka,0.0,29
70,2016-03-11,Dhaka,0.0,28.9
71,2016-03-12,Dhaka,1.0,29
72,2016-03-13,Dhaka,1.0,26.9
73,2016-03-14,Dhaka,0.0,26.2
74,2016-03-15,Dhaka,1.0,27.8
75,2016-03-16,Dhaka,1.0,27.4
76,2016-03-17,Dhaka,2.0,26.7
77,2016-03-18,Dhaka,0.0,27.8
78,2016-03-19,Dhaka,0.0,26.2
79,2016-03-20,Dhaka,2.0,27.2
80,2016-03-21,Dhaka,1.0,28.8
81,2016-03-22,Dhaka,0.0,29.4
82,2016-03-23,Dhaka,0.0,28.5
83,2016-03-24,Dhaka,1.0,27.7
84,2016-03-25,Dhaka,0.0,28.4
85,2016-03-26,Dhaka,2.0,29.7
86,2016-03-27,Dhaka,1.0,28.9
87,2016-03-28,Dhaka,1.0,24.5
88,2016-03-29,Dhaka,0.0,25.9
89,2016-03-30,Dhaka,0.0,27
90,2016-03-31,Dhaka,0.0,23.5
91,2016-04-01,Dhaka,0.0,22.3
92,2016-04-02,Dhaka,0.0,25
93,2016-04-03,Dhaka,2.0,27.4
94,2016-04-04,Dhaka,2.0,28.9
95,2016-04-05,Dhaka,0.0,28.6
96,2016-04-06,Dhaka,1.0,30.2
97,2016-04-07,Dhaka,0.0,30.2
98,2016-04-08,Dhaka,1.0,30.6
99,2016-04-09,Dhaka,2.0,30.4
