,date,Infected,Area,temp
0,2016-01-01,0,Barisal,19
1,2016-01-02,0,Barisal,18.8
2,2016-01-03,0,Barisal,18.5
3,2016-01-04,0,Barisal,18.2
4,2016-01-05,0,Barisal,18.5
5,2016-01-06,0,Barisal,17.9
6,2016-01-07,0,Barisal,18.5
7,2016-01-08,0,Barisal,19.5
8,2016-01-09,0,Barisal,20.3
9,2016-01-10,0,Barisal,20.2
10,2016-01-11,0,Barisal,18.3
11,2016-01-12,0,Barisal,17.6
12,2016-01-13,0,Barisal,17.4
13,2016-01-14,0,Barisal,17.6
14,2016-01-15,0,Barisal,18.6
15,2016-01-16,0,Barisal,19.3
16,2016-01-17,0,Barisal,18.4
17,2016-01-18,0,Barisal,18.1
18,2016-01-19,0,Barisal,19.5
19,2016-01-20,0,Barisal,19.9
20,2016-01-21,0,Barisal,17
21,2016-01-22,0,Barisal,16.2
22,2016-01-23,0,Barisal,15.4
23,2016-01-24,0,Barisal,14.8
24,2016-01-25,0,Barisal,15.3
25,2016-01-26,0,Barisal,15.3
26,2016-01-27,0,Barisal,17.4
27,2016-01-28,0,Barisal,19.2
28,2016-01-29,0,Barisal,18.6
29,2016-01-30,0,Barisal,18.8
30,2016-01-31,0,Barisal,20.5
31,2016-02-01,0,Barisal,22.6
32,2016-02-02,0,Barisal,21.3
33,2016-02-03,0,Barisal,20.8
34,2016-02-04,0,Barisal,19.4
35,2016-02-05,0,Barisal,19.4
36,2016-02-06,0,Barisal,18.9
37,2016-02-07,0,Barisal,19.7
38,2016-02-08,0,Barisal,21.8
39,2016-02-09,0,Barisal,22.6
40,2016-02-10,0,Barisal,22.2
41,2016-02-11,0,Barisal,22.5
42,2016-02-12,0,Barisal,24.4
43,2016-02-13,0,Barisal,23.5
44,2016-02-14,0,Barisal,24.2
45,2016-02-15,0,Barisal,24.7
46,2016-02-16,0,Barisal,24.9
47,2016-02-17,0,Barisal,25
48,2016-02-18,0,Barisal,25.8
49,2016-02-19,0,Barisal,26.4
50,2016-02-20,0,Barisal,27.1
51,2016-02-21,0,Barisal,27.4
52,2016-02-22,0,Barisal,26.6
53,2016-02-23,0,Barisal,27.2
54,2016-02-24,0,Barisal,23.6
55,2016-02-25,0,Barisal,23.2
56,2016-02-26,0,Barisal,25.2
57,2016-02-27,0,Barisal,25.4
58,2016-02-28,0,Barisal,25.5
59,2016-02-29,0,Barisal,0
60,2016-03-01,0,Barisal,25.5
61,2016-03-02,0,Barisal,25
62,2016-03-03,0,Barisal,26.4
63,2016-03-04,0,Barisal,27.4
64,2016-03-05,0,Barisal,27.3
65,2016-03-06,0,Barisal,25.5
66,2016-03-07,0,Barisal,25.5
67,2016-03-08,0,Barisal,26.3
68,2016-03-09,0,Barisal,27.8
69,2016-03-10,0,Barisal,28.1
70,2016-03-11,0,Barisal,28.5
71,2016-03-12,0,Barisal,28.9
72,2016-03-13,0,Barisal,26.7
73,2016-03-14,0,Barisal,26.1
74,2016-03-15,0,Barisal,26.7
75,2016-03-16,0,Barisal,27.2
76,2016-03-17,0,Barisal,26.3
77,2016-03-18,0,Barisal,28.1
78,2016-03-19,0,Barisal,25.5
79,2016-03-20,0,Barisal,27.2
80,2016-03-21,0,Barisal,29.3
81,2016-03-22,0,Barisal,28.5
82,2016-03-23,0,Barisal,27.2
83,2016-03-24,0,Barisal,26.2
84,2016-03-25,0,Barisal,26.9
85,2016-03-26,0,Barisal,28
86,2016-03-27,0,Barisal,28.2
87,2016-03-28,0,Barisal,26.7
88,2016-03-29,0,Barisal,27.9
89,2016-03-30,0,Barisal,28.9
90,2016-03-31,0,Barisal,25.6
91,2016-04-01,0,Barisal,24.1
92,2016-04-02,0,Barisal,25.7
93,2016-04-03,0,Barisal,27.9
94,2016-04-04,0,Barisal,29.2
95,2016-04-05,0,Barisal,28.9
96,2016-04-06,0,Barisal,30.2
97,2016-04-07,0,Barisal,29.9
98,2016-04-08,0,Barisal,29.8
99,2016-04-09,0,Barisal,30.2
100,2016-04-10,0,Barisal,30.3
101,2016-04-11,0,Barisal,30.6
102,2016-04-12,0,Barisal,31
103,2016-04-13,0,Barisal,30.7
104,2016-04-14,0,Barisal,30.3
105,2016-04-15,0,Barisal,30.5
106,2016-04-16,0,Barisal,30.3
107,2016-04-17,0,Barisal,30.4
108,2016-04-18,0,Barisal,30.2
109,2016-04-19,0,Barisal,30.5
110,2016-04-20,0,Barisal,30.3
111,2016-04-21,0,Barisal,30.5
112,2016-04-22,0,Barisal,30.9
113,2016-04-23,0,Barisal,31.3
114,2016-04-24,0,Barisal,31.5
115,2016-04-25,0,Barisal,31.1
116,2016-04-26,0,Barisal,30.9
117,2016-04-27,0,Barisal,30.9
118,2016-04-28,0,Barisal,30.8
119,2016-04-29,0,Barisal,31.6
120,2016-04-30,0,Barisal,31.2
121,2016-05-01,0,Barisal,28.7
122,2016-05-02,0,Barisal,27.2
123,2016-05-03,0,Barisal,29.1
124,2016-05-04,0,Barisal,28.1
125,2016-05-05,0,Barisal,28.7
126,2016-05-06,0,Barisal,29.1
127,2016-05-07,0,Barisal,27.1
128,2016-05-08,0,Barisal,29.4
129,2016-05-09,0,Barisal,30.9
130,2016-05-10,0,Barisal,31
131,2016-05-11,0,Barisal,32
132,2016-05-12,0,Barisal,30.9
133,2016-05-13,0,Barisal,27.9
134,2016-05-14,0,Barisal,30.4
135,2016-05-15,0,Barisal,31
136,2016-05-16,0,Barisal,30.8
137,2016-05-17,0,Barisal,30.8
138,2016-05-18,0,Barisal,29.7
139,2016-05-19,0,Barisal,26.4
140,2016-05-20,0,Barisal,25.9
141,2016-05-21,0,Barisal,24.6
142,2016-05-22,0,Barisal,28.3
143,2016-05-23,0,Barisal,30
144,2016-05-24,0,Barisal,28.3
145,2016-05-25,0,Barisal,27.9
146,2016-05-26,0,Barisal,29.2
147,2016-05-27,0,Barisal,28.8
148,2016-05-28,0,Barisal,28.6
149,2016-05-29,0,Barisal,30.6
150,2016-05-30,0,Barisal,30.3
151,2016-05-31,0,Barisal,27.7
152,2016-06-01,0,Barisal,28.7
153,2016-06-02,0,Barisal,30.4
154,2016-06-03,0,Barisal,30.5
155,2016-06-04,0,Barisal,30
156,2016-06-05,0,Barisal,28.9
157,2016-06-06,0,Barisal,29.3
158,2016-06-07,0,Barisal,28.7
159,2016-06-08,0,Barisal,29.2
160,2016-06-09,0,Barisal,28.7
161,2016-06-10,0,Barisal,31.1
162,2016-06-11,0,Barisal,27.1
163,2016-06-12,0,Barisal,26.1
164,2016-06-13,0,Barisal,25.7
165,2016-06-14,0,Barisal,27.6
166,2016-06-15,0,Barisal,30
167,2016-06-16,0,Barisal,29.3
168,2016-06-17,0,Barisal,29.2
169,2016-06-18,0,Barisal,27.5
170,2016-06-19,0,Barisal,29
171,2016-06-20,0,Barisal,29.6
172,2016-06-21,0,Barisal,30.1
173,2016-06-22,0,Barisal,29.7
174,2016-06-23,0,Barisal,30.5
175,2016-06-24,0,Barisal,30.8
176,2016-06-25,0,Barisal,30.8
177,2016-06-26,0,Barisal,30.7
178,2016-06-27,0,Barisal,29.7
179,2016-06-28,0,Barisal,30.9
180,2016-06-29,0,Barisal,30.5
181,2016-06-30,0,Barisal,30.2
182,2016-07-01,0,Barisal,29
183,2016-07-02,0,Barisal,27.5
184,2016-07-03,0,Barisal,27.4
185,2016-07-04,0,Barisal,26.5
186,2016-07-05,0,Barisal,27.2
187,2016-07-06,0,Barisal,26.9
188,2016-07-07,0,Barisal,29.7
189,2016-07-08,0,Barisal,29.7
190,2016-07-09,0,Barisal,28.8
191,2016-07-10,0,Barisal,29
192,2016-07-11,0,Barisal,29.2
193,2016-07-12,0,Barisal,28.4
194,2016-07-13,0,Barisal,29.2
195,2016-07-14,0,Barisal,28.9
196,2016-07-15,0,Barisal,27.8
197,2016-07-16,0,Barisal,27
198,2016-07-17,0,Barisal,27.8
199,2016-07-18,0,Barisal,27.3
200,2016-07-19,0,Barisal,27
201,2016-07-20,0,Barisal,28.5
202,2016-07-21,0,Barisal,28.5
203,2016-07-22,0,Barisal,28
204,2016-07-23,0,Barisal,28.1
205,2016-07-24,0,Barisal,28.9
206,2016-07-25,0,Barisal,26.9
207,2016-07-26,0,Barisal,26.9
208,2016-07-27,0,Barisal,28.3
209,2016-07-28,0,Barisal,30
210,2016-07-29,0,Barisal,28.3
211,2016-07-30,0,Barisal,30
212,2016-07-31,0,Barisal,29.5
213,2016-08-01,0,Barisal,28.2
214,2016-08-02,0,Barisal,27.7
215,2016-08-03,0,Barisal,29.4
216,2016-08-04,0,Barisal,29.4
217,2016-08-05,0,Barisal,28
218,2016-08-06,0,Barisal,28
219,2016-08-07,0,Barisal,27.7
220,2016-08-08,0,Barisal,27.8
221,2016-08-09,0,Barisal,27.1
222,2016-08-10,0,Barisal,26.4
223,2016-08-11,0,Barisal,28
224,2016-08-12,0,Barisal,27.9
225,2016-08-13,0,Barisal,28.8
226,2016-08-14,0,Barisal,29.7
227,2016-08-15,0,Barisal,30.1
228,2016-08-16,0,Barisal,29.3
229,2016-08-17,0,Barisal,27.4
230,2016-08-18,0,Barisal,29.2
231,2016-08-19,0,Barisal,30
232,2016-08-20,0,Barisal,30.1
233,2016-08-21,0,Barisal,25.1
234,2016-08-22,0,Barisal,27.4
235,2016-08-23,0,Barisal,29.3
236,2016-08-24,0,Barisal,29.8
237,2016-08-25,0,Barisal,30.8
238,2016-08-26,0,Barisal,29.6
239,2016-08-27,0,Barisal,30.4
240,2016-08-28,0,Barisal,28.8
241,2016-08-29,0,Barisal,29.5
242,2016-08-30,0,Barisal,29.8
243,2016-08-31,0,Barisal,29
244,2016-09-01,0,Barisal,28.8
245,2016-09-02,0,Barisal,28.6
246,2016-09-03,0,Barisal,28.4
247,2016-09-04,0,Barisal,29.3
248,2016-09-05,0,Barisal,28.9
249,2016-09-06,0,Barisal,29.2
250,2016-09-07,0,Barisal,29.1
251,2016-09-08,0,Barisal,29.1
252,2016-09-09,0,Barisal,29
253,2016-09-10,0,Barisal,28.8
254,2016-09-11,0,Barisal,28.4
255,2016-09-12,0,Barisal,28.3
256,2016-09-13,0,Barisal,28.4
257,2016-09-14,0,Barisal,29
258,2016-09-15,0,Barisal,29.5
259,2016-09-16,0,Barisal,29.2
260,2016-09-17,0,Barisal,29
261,2016-09-18,0,Barisal,29.5
262,2016-09-19,0,Barisal,30.1
263,2016-09-20,0,Barisal,28.8
264,2016-09-21,0,Barisal,28.5
265,2016-09-22,0,Barisal,28.4
266,2016-09-23,0,Barisal,27.7
267,2016-09-24,0,Barisal,28.2
268,2016-09-25,0,Barisal,28.5
269,2016-09-26,0,Barisal,28.4
270,2016-09-27,0,Barisal,29.4
271,2016-09-28,0,Barisal,26.7
272,2016-09-29,0,Barisal,29.5
273,2016-09-30,0,Barisal,29.7
274,2016-10-01,0,Barisal,29.6
275,2016-10-02,0,Barisal,29.6
276,2016-10-03,0,Barisal,29.8
277,2016-10-04,0,Barisal,28.9
278,2016-10-05,0,Barisal,27.5
279,2016-10-06,0,Barisal,27.9
280,2016-10-07,0,Barisal,28.3
281,2016-10-08,0,Barisal,28.3
282,2016-10-09,0,Barisal,28.5
283,2016-10-10,0,Barisal,26.5
284,2016-10-11,0,Barisal,25.8
285,2016-10-12,0,Barisal,27.9
286,2016-10-13,0,Barisal,27.4
287,2016-10-14,0,Barisal,27.3
288,2016-10-15,0,Barisal,28.1
289,2016-10-16,0,Barisal,28.1
290,2016-10-17,0,Barisal,28.6
291,2016-10-18,0,Barisal,28.9
292,2016-10-19,0,Barisal,28.8
293,2016-10-20,0,Barisal,28.2
294,2016-10-21,0,Barisal,28
295,2016-10-22,0,Barisal,27.2
296,2016-10-23,0,Barisal,26.3
297,2016-10-24,0,Barisal,26.4
298,2016-10-25,0,Barisal,27.2
299,2016-10-26,0,Barisal,27.1
300,2016-10-27,0,Barisal,25.9
301,2016-10-28,0,Barisal,26.7
302,2016-10-29,0,Barisal,26.1
303,2016-10-30,0,Barisal,27.1
304,2016-10-31,0,Barisal,27.9
305,2016-11-01,0,Barisal,28.3
306,2016-11-02,0,Barisal,28.6
307,2016-11-03,0,Barisal,28.4
308,2016-11-04,0,Barisal,24.7
309,2016-11-05,0,Barisal,21.2
310,2016-11-06,0,Barisal,22.6
311,2016-11-07,0,Barisal,23.3
312,2016-11-08,0,Barisal,23.9
313,2016-11-09,0,Barisal,24
314,2016-11-10,0,Barisal,23.7
315,2016-11-11,0,Barisal,23.7
316,2016-11-12,0,Barisal,23.8
317,2016-11-13,0,Barisal,24.2
318,2016-11-14,0,Barisal,23.6
319,2016-11-15,0,Barisal,22.6
320,2016-11-16,0,Barisal,22.8
321,2016-11-17,0,Barisal,22.2
322,2016-11-18,0,Barisal,21.8
323,2016-11-19,0,Barisal,21.5
324,2016-11-20,0,Barisal,21.7
325,2016-11-21,0,Barisal,22
326,2016-11-22,0,Barisal,21.8
327,2016-11-23,0,Barisal,21.6
328,2016-11-24,0,Barisal,21.7
329,2016-11-25,0,Barisal,21.8
330,2016-11-26,0,Barisal,22.1
331,2016-11-27,0,Barisal,22.2
332,2016-11-28,0,Barisal,22.2
333,2016-11-29,0,Barisal,22.4
334,2016-11-30,0,Barisal,22.1
335,2016-12-01,0,Barisal,22.5
336,2016-12-02,0,Barisal,22.6
337,2016-12-03,0,Barisal,22.1
338,2016-12-04,0,Barisal,22.4
339,2016-12-05,0,Barisal,21.4
340,2016-12-06,0,Barisal,20.8
341,2016-12-07,0,Barisal,20.9
342,2016-12-08,0,Barisal,21
343,2016-12-09,0,Barisal,20.7
344,2016-12-10,0,Barisal,20.3
345,2016-12-11,0,Barisal,20.3
346,2016-12-12,0,Barisal,19.7
347,2016-12-13,0,Barisal,18.4
348,2016-12-14,0,Barisal,18.2
349,2016-12-15,0,Barisal,18.5
350,2016-12-16,0,Barisal,18.9
351,2016-12-17,0,Barisal,19.3
352,2016-12-18,0,Barisal,19.8
353,2016-12-19,0,Barisal,19.6
354,2016-12-20,0,Barisal,19.2
355,2016-12-21,0,Barisal,18.6
356,2016-12-22,0,Barisal,18.7
357,2016-12-26,0,Barisal,21.2
358,2016-12-27,0,Barisal,20.3
359,2016-12-28,0,Barisal,18.6
360,2016-12-29,0,Barisal,18.9
361,2016-12-30,0,Barisal,18.5
362,2016-12-31,0,Barisal,18.9
