,date,Infected,Area
1,2019-12-30,0,khulna
2,2019-12-29,1,khulna
3,2019-12-28,0,khulna
4,2019-12-27,2,khulna
5,2019-12-26,0,khulna
6,2019-12-25,1,khulna
7,2019-12-24,0,khulna
8,2019-12-23,4,khulna
9,2019-12-22,0,khulna
10,2019-12-21,2,khulna
11,2019-12-20,3,khulna
12,2019-12-19,5,khulna
13,2019-12-18,3,khulna
14,2019-12-17,5,khulna
15,2019-12-16,2,khulna
16,2019-12-15,2,khulna
17,2019-12-14,3,khulna
18,2019-12-13,6,khulna
19,2019-12-12,6,khulna
20,2019-12-11,2,khulna
21,2019-12-10,7,khulna
22,2019-12-09,6,khulna
23,2019-12-08,9,khulna
24,2019-12-07,5,khulna
25,2019-12-06,4,khulna
26,2019-12-05,12,khulna
27,2019-12-04,12,khulna
28,2019-12-03,9,khulna
29,2019-12-02,12,khulna
30,2019-12-01,10,khulna
31,2019-11-30,10,khulna
32,2019-11-29,11,khulna
33,2019-11-28,14,khulna
34,2019-11-27,15,khulna
35,2019-11-26,14,khulna
36,2019-11-25,17,khulna
37,2019-11-24,9,khulna
38,2019-11-23,23,khulna
39,2019-11-22,17,khulna
40,2019-11-21,17,khulna
41,2019-11-20,24,khulna
42,2019-11-19,20,khulna
43,2019-11-18,19,khulna
44,2019-11-17,26,khulna
45,2019-11-16,24,khulna
46,2019-11-15,17,khulna
47,2019-11-14,23,khulna
48,2019-11-13,25,khulna
49,2019-11-12,30,khulna
50,2019-11-11,26,khulna
51,2019-11-10,21,khulna
52,2019-11-09,25,khulna
53,2019-11-08,31,khulna
54,2019-11-07,56,khulna
55,2019-11-06,36,khulna
56,2019-11-05,24,khulna
57,2019-11-04,35,khulna
58,2019-11-03,47,khulna
59,2019-11-02,27,khulna
60,2019-11-01,57,khulna
61,2019-10-31,50,khulna
62,2019-10-30,52,khulna
63,2019-10-29,40,khulna
64,2019-10-28,44,khulna
65,2019-10-27,56,khulna
66,2019-10-26,36,khulna
67,2019-10-25,41,khulna
68,2019-10-24,47,khulna
69,2019-10-23,50,khulna
70,2019-10-22,45,khulna
71,2019-10-21,47,khulna
72,2019-10-20,40,khulna
73,2019-10-19,41,khulna
74,2019-10-18,42,khulna
75,2019-10-17,47,khulna
76,2019-10-16,45,khulna
77,2019-10-15,68,khulna
78,2019-10-14,77,khulna
79,2019-10-13,69,khulna
80,2019-10-12,45,khulna
81,2019-10-11,74,khulna
82,2019-10-10,106,khulna
83,2019-10-09,82,khulna
84,2019-10-08,106,khulna
85,2019-10-07,114,khulna
86,2019-10-06,108,khulna
87,2019-10-05,79,khulna
88,2019-10-04,124,khulna
89,2019-10-03,124,khulna
90,2019-10-02,95,khulna
91,2019-10-01,98,khulna
92,2019-09-30,92,khulna
93,2019-09-29,81,khulna
94,2019-09-28,107,khulna
95,2019-09-27,107,khulna
96,2019-09-26,110,khulna
97,2019-09-25,87,khulna
98,2019-09-24,120,khulna
99,2019-09-23,121,khulna
100,2019-09-22,90,khulna
101,2019-09-21,100,khulna
102,2019-09-20,146,khulna
103,2019-09-19,134,khulna
104,2019-09-18,151,khulna
105,2019-09-17,157,khulna
106,2019-09-16,188,khulna
107,2019-09-15,185,khulna
108,2019-09-14,143,khulna
109,2019-09-13,174,khulna
110,2019-09-12,200,khulna
111,2019-09-11,138,khulna
112,2019-09-10,172,khulna
113,2019-09-09,135,khulna
114,2019-09-08,139,khulna
115,2019-09-07,115,khulna
116,2019-09-06,141,khulna
117,2019-09-05,131,khulna
118,2019-09-04,147,khulna
119,2019-09-03,107,khulna
120,2019-09-02,143,khulna
121,2019-09-01,133,khulna
122,2019-08-31,121,khulna
123,2019-08-30,160,khulna
124,2019-08-29,184,khulna
125,2019-08-28,138,khulna
126,2019-08-27,182,khulna
127,2019-08-26,149,khulna
128,2019-08-25,166,khulna
129,2019-08-24,138,khulna
