,date,Infected,Area
1,2019-12-30,0,Barishal
2,2019-12-29,0,Barishal
3,2019-12-28,1,Barishal
4,2019-12-27,0,Barishal
5,2019-12-26,0,Barishal
6,2019-12-25,0,Barishal
7,2019-12-24,0,Barishal
8,2019-12-23,0,Barishal
9,2019-12-22,2,Barishal
10,2019-12-21,0,Barishal
11,2019-12-20,1,Barishal
12,2019-12-19,3,Barishal
13,2019-12-18,2,Barishal
14,2019-12-17,2,Barishal
15,2019-12-16,2,Barishal
16,2019-12-15,1,Barishal
17,2019-12-14,2,Barishal
18,2019-12-13,1,Barishal
19,2019-12-12,2,Barishal
20,2019-12-11,1,Barishal
21,2019-12-10,3,Barishal
22,2019-12-09,2,Barishal
23,2019-12-08,5,Barishal
24,2019-12-07,0,Barishal
25,2019-12-06,4,Barishal
26,2019-12-05,6,Barishal
27,2019-12-04,3,Barishal
28,2019-12-03,7,Barishal
29,2019-12-02,1,Barishal
30,2019-12-01,6,Barishal
31,2019-11-30,4,Barishal
32,2019-11-29,4,Barishal
33,2019-11-28,5,Barishal
34,2019-11-27,9,Barishal
35,2019-11-26,5,Barishal
36,2019-11-25,5,Barishal
37,2019-11-24,3,Barishal
38,2019-11-23,2,Barishal
39,2019-11-22,4,Barishal
40,2019-11-21,9,Barishal
41,2019-11-20,5,Barishal
42,2019-11-19,9,Barishal
43,2019-11-18,9,Barishal
44,2019-11-17,10,Barishal
45,2019-11-16,15,Barishal
46,2019-11-15,7,Barishal
47,2019-11-14,13,Barishal
48,2019-11-13,18,Barishal
49,2019-11-12,15,Barishal
50,2019-11-11,2,Barishal
51,2019-11-10,6,Barishal
52,2019-11-09,6,Barishal
53,2019-11-08,18,Barishal
54,2019-11-07,32,Barishal
55,2019-11-06,17,Barishal
56,2019-11-05,27,Barishal
57,2019-11-04,23,Barishal
58,2019-11-03,24,Barishal
59,2019-11-02,13,Barishal
60,2019-11-01,34,Barishal
61,2019-10-31,25,Barishal
62,2019-10-30,35,Barishal
63,2019-10-29,29,Barishal
64,2019-10-28,44,Barishal
65,2019-10-27,33,Barishal
66,2019-10-26,22,Barishal
67,2019-10-25,23,Barishal
68,2019-10-24,21,Barishal
69,2019-10-23,22,Barishal
70,2019-10-22,32,Barishal
71,2019-10-21,28,Barishal
72,2019-10-20,25,Barishal
73,2019-10-19,42,Barishal
74,2019-10-18,26,Barishal
75,2019-10-17,44,Barishal
76,2019-10-16,32,Barishal
77,2019-10-15,31,Barishal
78,2019-10-14,28,Barishal
79,2019-10-13,30,Barishal
80,2019-10-12,25,Barishal
81,2019-10-11,30,Barishal
82,2019-10-10,37,Barishal
83,2019-10-09,35,Barishal
84,2019-10-08,23,Barishal
85,2019-10-07,31,Barishal
86,2019-10-06,38,Barishal
87,2019-10-05,38,Barishal
88,2019-10-04,29,Barishal
89,2019-10-03,36,Barishal
90,2019-10-02,31,Barishal
91,2019-10-01,46,Barishal
92,2019-09-30,30,Barishal
93,2019-09-29,36,Barishal
94,2019-09-28,30,Barishal
95,2019-09-27,38,Barishal
96,2019-09-26,37,Barishal
97,2019-09-25,49,Barishal
98,2019-09-24,44,Barishal
99,2019-09-23,49,Barishal
100,2019-09-22,65,Barishal
101,2019-09-21,51,Barishal
102,2019-09-20,42,Barishal
103,2019-09-19,43,Barishal
104,2019-09-18,48,Barishal
105,2019-09-17,63,Barishal
106,2019-09-16,60,Barishal
107,2019-09-15,65,Barishal
108,2019-09-14,49,Barishal
109,2019-09-13,54,Barishal
110,2019-09-12,64,Barishal
111,2019-09-11,67,Barishal
112,2019-09-10,67,Barishal
113,2019-09-09,68,Barishal
114,2019-09-08,66,Barishal
115,2019-09-07,63,Barishal
116,2019-09-06,57,Barishal
117,2019-09-05,62,Barishal
118,2019-09-04,78,Barishal
119,2019-09-03,56,Barishal
120,2019-09-02,61,Barishal
121,2019-09-01,93,Barishal
122,2019-08-31,63,Barishal
123,2019-08-30,87,Barishal
124,2019-08-29,106,Barishal
125,2019-08-28,105,Barishal
126,2019-08-27,102,Barishal
127,2019-08-26,111,Barishal
128,2019-08-25,126,Barishal
129,2019-08-24,106,Barishal
