,date,Infected,Area,temp
0,2019-08-24,106,Barisal,28.6
1,2019-08-25,126,Barisal,29.2
2,2019-08-26,111,Barisal,29.3
3,2019-08-27,102,Barisal,29.5
4,2019-08-28,105,Barisal,29.7
5,2019-08-29,106,Barisal,29.7
6,2019-08-30,87,Barisal,30.5
7,2019-08-31,63,Barisal,30.3
8,2019-09-01,93,Barisal,29.6
9,2019-09-02,61,Barisal,30.2
10,2019-09-03,56,Barisal,29.4
11,2019-09-04,78,Barisal,29
12,2019-09-05,62,Barisal,29.1
13,2019-09-06,57,Barisal,28.7
14,2019-09-07,63,Barisal,28.4
15,2019-09-08,66,Barisal,27.8
16,2019-09-09,68,Barisal,29.2
17,2019-09-10,67,Barisal,28.3
18,2019-09-11,67,Barisal,28.5
19,2019-09-12,64,Barisal,27.4
20,2019-09-13,54,Barisal,28.7
21,2019-09-14,49,Barisal,29.3
22,2019-09-15,65,Barisal,29.5
23,2019-09-16,60,Barisal,29.5
24,2019-09-17,63,Barisal,29.7
25,2019-09-18,48,Barisal,29.2
26,2019-09-19,43,Barisal,30.3
27,2019-09-20,42,Barisal,29.6
28,2019-09-21,51,Barisal,27.8
29,2019-09-22,65,Barisal,28.1
30,2019-09-23,49,Barisal,28.6
31,2019-09-24,44,Barisal,26.9
32,2019-09-25,49,Barisal,26
33,2019-09-26,37,Barisal,27.1
34,2019-09-27,38,Barisal,27.6
35,2019-09-28,30,Barisal,26
36,2019-09-29,36,Barisal,24.9
37,2019-09-30,30,Barisal,26.6
38,2019-10-01,46,Barisal,26.5
39,2019-10-02,31,Barisal,28.5
40,2019-10-03,36,Barisal,27.9
41,2019-10-04,29,Barisal,28.5
42,2019-10-05,38,Barisal,29.5
43,2019-10-06,38,Barisal,25.8
44,2019-10-07,31,Barisal,27.4
45,2019-10-08,23,Barisal,27.6
46,2019-10-09,35,Barisal,26.2
47,2019-10-10,37,Barisal,25.9
48,2019-10-11,30,Barisal,27.3
49,2019-10-12,25,Barisal,27.3
50,2019-10-13,30,Barisal,27.2
51,2019-10-14,28,Barisal,27.2
52,2019-10-15,31,Barisal,28.4
53,2019-10-16,32,Barisal,26
54,2019-10-17,44,Barisal,27.9
55,2019-10-18,26,Barisal,28.8
56,2019-10-19,42,Barisal,29
57,2019-10-20,25,Barisal,28.7
58,2019-10-21,28,Barisal,28.3
59,2019-10-22,32,Barisal,27.7
60,2019-10-23,22,Barisal,27.4
61,2019-10-24,21,Barisal,24.4
62,2019-10-25,23,Barisal,23.9
63,2019-10-26,22,Barisal,25.1
64,2019-10-27,33,Barisal,25.7
65,2019-10-28,44,Barisal,25
66,2019-10-29,29,Barisal,25.2
67,2019-10-30,35,Barisal,25.6
68,2019-10-31,25,Barisal,25.4
69,2019-11-01,34,Barisal,25.6
70,2019-11-02,13,Barisal,25.9
71,2019-11-03,24,Barisal,25.6
72,2019-11-04,23,Barisal,25.5
73,2019-11-05,27,Barisal,25.5
74,2019-11-06,17,Barisal,24.6
75,2019-11-07,32,Barisal,25.3
76,2019-11-08,18,Barisal,24.4
77,2019-11-09,6,Barisal,23.9
78,2019-11-10,6,Barisal,23
79,2019-11-11,2,Barisal,24.2
80,2019-11-12,15,Barisal,25.3
81,2019-11-13,18,Barisal,24.6
82,2019-11-14,13,Barisal,24.6
83,2019-11-15,7,Barisal,24.6
84,2019-11-16,15,Barisal,24.4
85,2019-11-17,10,Barisal,23.6
86,2019-11-18,9,Barisal,23
87,2019-11-19,9,Barisal,22.9
88,2019-11-20,5,Barisal,21.7
89,2019-11-21,9,Barisal,21.9
90,2019-11-22,4,Barisal,22.7
91,2019-11-23,2,Barisal,22.4
92,2019-11-24,3,Barisal,22.4
93,2019-11-25,5,Barisal,22.5
94,2019-11-26,5,Barisal,22.8
95,2019-11-27,9,Barisal,22.9
96,2019-11-28,5,Barisal,22.9
97,2019-11-29,4,Barisal,22.9
98,2019-11-30,4,Barisal,22.4
99,2019-12-01,6,Barisal,21.3
100,2019-12-02,1,Barisal,20.8
101,2019-12-03,7,Barisal,19.7
102,2019-12-04,3,Barisal,19.6
103,2019-12-05,6,Barisal,20.4
104,2019-12-06,4,Barisal,21.6
105,2019-12-07,0,Barisal,21.5
106,2019-12-08,5,Barisal,21
107,2019-12-09,2,Barisal,21
108,2019-12-10,3,Barisal,19.7
109,2019-12-11,1,Barisal,19.9
110,2019-12-12,2,Barisal,19.4
111,2019-12-13,1,Barisal,19.2
112,2019-12-14,2,Barisal,19.9
113,2019-12-15,1,Barisal,20
114,2019-12-16,2,Barisal,19.5
115,2019-12-17,2,Barisal,19.9
116,2019-12-18,2,Barisal,17.5
117,2019-12-19,3,Barisal,15.9
118,2019-12-20,1,Barisal,15.7
119,2019-12-21,0,Barisal,15.3
120,2019-12-22,2,Barisal,15.9
121,2019-12-23,0,Barisal,17
122,2019-12-24,0,Barisal,15.7
123,2019-12-25,0,Barisal,17.3
124,2019-12-26,0,Barisal,16.6
125,2019-12-27,0,Barisal,15.4
126,2019-12-28,1,Barisal,14.3
127,2019-12-29,0,Barisal,16.3
128,2019-12-30,0,Barisal,16.9
