,date,Infected,Area
0,2020-12-31,0,Barishal
1,2020-12-30,0,Barishal
2,2020-12-29,0,Barishal
3,2020-12-28,0,Barishal
4,2020-12-27,0,Barishal
5,2020-12-26,0,Barishal
6,2020-12-25,0,Barishal
7,2020-12-24,0,Barishal
8,2020-12-23,0,Barishal
9,2020-12-22,0,Barishal
10,2020-12-21,0,Barishal
11,2020-12-20,0,Barishal
12,2020-12-19,0,Barishal
13,2020-12-18,0,Barishal
14,2020-12-17,0,Barishal
15,2020-12-16,0,Barishal
16,2020-12-15,0,Barishal
17,2020-12-14,0,Barishal
18,2020-12-13,0,Barishal
19,2020-12-12,0,Barishal
20,2020-12-11,0,Barishal
21,2020-12-10,0,Barishal
22,2020-12-09,0,Barishal
23,2020-12-08,0,Barishal
24,2020-12-07,0,Barishal
25,2020-12-06,0,Barishal
26,2020-12-05,0,Barishal
27,2020-12-04,0,Barishal
28,2020-12-03,0,Barishal
29,2020-12-02,0,Barishal
30,2020-12-01,0,Barishal
31,2020-11-30,0,Barishal
32,2020-11-29,0,Barishal
33,2020-11-28,0,Barishal
34,2020-11-27,0,Barishal
35,2020-11-26,0,Barishal
36,2020-11-25,0,Barishal
37,2020-11-24,0,Barishal
38,2020-11-23,0,Barishal
39,2020-11-22,0,Barishal
40,2020-11-21,0,Barishal
41,2020-11-20,0,Barishal
42,2020-11-19,0,Barishal
43,2020-11-18,0,Barishal
44,2020-11-17,0,Barishal
45,2020-11-16,0,Barishal
46,2020-11-15,0,Barishal
47,2020-11-14,0,Barishal
48,2020-11-13,0,Barishal
49,2020-11-12,0,Barishal
50,2020-11-11,0,Barishal
51,2020-11-10,0,Barishal
52,2020-11-09,0,Barishal
53,2020-11-08,0,Barishal
54,2020-11-07,0,Barishal
55,2020-11-06,0,Barishal
56,2020-11-05,0,Barishal
57,2020-11-04,0,Barishal
58,2020-11-03,0,Barishal
59,2020-11-02,0,Barishal
60,2020-11-01,0,Barishal
61,2020-10-31,0,Barishal
62,2020-10-30,0,Barishal
63,2020-10-29,0,Barishal
64,2020-10-28,0,Barishal
65,2020-10-27,0,Barishal
66,2020-10-26,0,Barishal
67,2020-10-25,0,Barishal
68,2020-10-24,0,Barishal
69,2020-10-23,0,Barishal
70,2020-10-22,0,Barishal
71,2020-10-21,0,Barishal
72,2020-10-20,0,Barishal
73,2020-10-19,0,Barishal
74,2020-10-18,0,Barishal
75,2020-10-17,0,Barishal
76,2020-10-16,0,Barishal
77,2020-10-15,0,Barishal
78,2020-10-14,0,Barishal
79,2020-10-13,0,Barishal
80,2020-10-12,0,Barishal
81,2020-10-11,0,Barishal
82,2020-10-10,0,Barishal
83,2020-10-09,0,Barishal
84,2020-10-08,0,Barishal
85,2020-10-07,0,Barishal
86,2020-10-06,0,Barishal
87,2020-10-05,0,Barishal
88,2020-10-04,0,Barishal
89,2020-10-03,0,Barishal
90,2020-10-02,0,Barishal
91,2020-10-01,0,Barishal
92,2020-09-30,0,Barishal
93,2020-09-29,0,Barishal
94,2020-09-28,0,Barishal
95,2020-09-27,0,Barishal
96,2020-09-26,0,Barishal
97,2020-09-25,0,Barishal
98,2020-09-24,0,Barishal
99,2020-09-23,0,Barishal
100,2020-09-22,0,Barishal
101,2020-09-21,0,Barishal
102,2020-09-20,0,Barishal
103,2020-09-19,0,Barishal
104,2020-09-18,0,Barishal
105,2020-09-17,0,Barishal
106,2020-09-16,0,Barishal
107,2020-09-15,0,Barishal
108,2020-09-14,0,Barishal
109,2020-09-13,0,Barishal
110,2020-09-12,0,Barishal
111,2020-09-11,0,Barishal
112,2020-09-10,0,Barishal
113,2020-09-09,0,Barishal
114,2020-09-08,0,Barishal
115,2020-09-07,0,Barishal
116,2020-09-06,0,Barishal
117,2020-09-05,0,Barishal
118,2020-09-04,0,Barishal
119,2020-09-03,0,Barishal
120,2020-09-02,0,Barishal
121,2020-09-01,0,Barishal
122,2020-08-31,0,Barishal
123,2020-08-30,0,Barishal
124,2020-08-29,0,Barishal
125,2020-08-28,0,Barishal
126,2020-08-27,0,Barishal
127,2020-08-26,0,Barishal
128,2020-08-25,0,Barishal
129,2020-08-24,0,Barishal
130,2020-08-23,0,Barishal
131,2020-08-22,0,Barishal
132,2020-08-21,0,Barishal
133,2020-08-20,0,Barishal
134,2020-08-19,0,Barishal
135,2020-08-18,0,Barishal
136,2020-08-17,0,Barishal
137,2020-08-16,0,Barishal
138,2020-08-15,0,Barishal
139,2020-08-14,0,Barishal
140,2020-08-13,0,Barishal
141,2020-08-12,0,Barishal
142,2020-08-11,0,Barishal
143,2020-08-10,0,Barishal
144,2020-08-09,0,Barishal
145,2020-08-08,0,Barishal
146,2020-08-07,0,Barishal
147,2020-08-06,0,Barishal
148,2020-08-05,0,Barishal
149,2020-08-04,0,Barishal
150,2020-08-03,0,Barishal
151,2020-08-02,0,Barishal
152,2020-08-01,0,Barishal
153,2020-07-31,0,Barishal
154,2020-07-30,0,Barishal
155,2020-07-29,0,Barishal
156,2020-07-28,0,Barishal
157,2020-07-27,0,Barishal
158,2020-07-26,0,Barishal
159,2020-07-25,0,Barishal
160,2020-07-24,0,Barishal
161,2020-07-23,0,Barishal
162,2020-07-22,0,Barishal
163,2020-07-21,0,Barishal
164,2020-07-20,0,Barishal
165,2020-07-19,0,Barishal
166,2020-07-18,0,Barishal
167,2020-07-17,0,Barishal
168,2020-07-16,0,Barishal
169,2020-07-15,0,Barishal
170,2020-07-14,0,Barishal
171,2020-07-13,0,Barishal
172,2020-07-12,0,Barishal
173,2020-07-11,0,Barishal
174,2020-07-10,0,Barishal
175,2020-07-09,0,Barishal
176,2020-07-08,0,Barishal
177,2020-07-07,0,Barishal
178,2020-07-06,0,Barishal
179,2020-07-05,0,Barishal
180,2020-07-04,0,Barishal
181,2020-07-03,0,Barishal
182,2020-07-02,0,Barishal
183,2020-07-01,0,Barishal
184,2020-06-30,0,Barishal
185,2020-06-29,0,Barishal
