,date,Infected,Area
0,2020-12-31,0,Chittagong
1,2020-12-30,0,Chittagong
2,2020-12-29,0,Chittagong
3,2020-12-28,0,Chittagong
4,2020-12-27,0,Chittagong
5,2020-12-26,0,Chittagong
6,2020-12-25,0,Chittagong
7,2020-12-24,0,Chittagong
8,2020-12-23,0,Chittagong
9,2020-12-22,0,Chittagong
10,2020-12-21,0,Chittagong
11,2020-12-20,0,Chittagong
12,2020-12-19,0,Chittagong
13,2020-12-18,0,Chittagong
14,2020-12-17,0,Chittagong
15,2020-12-16,0,Chittagong
16,2020-12-15,0,Chittagong
17,2020-12-14,0,Chittagong
18,2020-12-13,0,Chittagong
19,2020-12-12,0,Chittagong
20,2020-12-11,0,Chittagong
21,2020-12-10,0,Chittagong
22,2020-12-09,0,Chittagong
23,2020-12-08,0,Chittagong
24,2020-12-07,0,Chittagong
25,2020-12-06,0,Chittagong
26,2020-12-05,0,Chittagong
27,2020-12-04,0,Chittagong
28,2020-12-03,0,Chittagong
29,2020-12-02,0,Chittagong
30,2020-12-01,0,Chittagong
31,2020-11-30,0,Chittagong
32,2020-11-29,0,Chittagong
33,2020-11-28,0,Chittagong
34,2020-11-27,0,Chittagong
35,2020-11-26,0,Chittagong
36,2020-11-25,0,Chittagong
37,2020-11-24,0,Chittagong
38,2020-11-23,0,Chittagong
39,2020-11-22,0,Chittagong
40,2020-11-21,0,Chittagong
41,2020-11-20,0,Chittagong
42,2020-11-19,0,Chittagong
43,2020-11-18,0,Chittagong
44,2020-11-17,0,Chittagong
45,2020-11-16,0,Chittagong
46,2020-11-15,0,Chittagong
47,2020-11-14,0,Chittagong
48,2020-11-13,0,Chittagong
49,2020-11-12,0,Chittagong
50,2020-11-11,0,Chittagong
51,2020-11-10,0,Chittagong
52,2020-11-09,0,Chittagong
53,2020-11-08,0,Chittagong
54,2020-11-07,0,Chittagong
55,2020-11-06,0,Chittagong
56,2020-11-05,0,Chittagong
57,2020-11-04,0,Chittagong
58,2020-11-03,0,Chittagong
59,2020-11-02,0,Chittagong
60,2020-11-01,0,Chittagong
61,2020-10-31,0,Chittagong
62,2020-10-30,0,Chittagong
63,2020-10-29,0,Chittagong
64,2020-10-28,0,Chittagong
65,2020-10-27,0,Chittagong
66,2020-10-26,0,Chittagong
67,2020-10-25,0,Chittagong
68,2020-10-24,0,Chittagong
69,2020-10-23,0,Chittagong
70,2020-10-22,0,Chittagong
71,2020-10-21,0,Chittagong
72,2020-10-20,0,Chittagong
73,2020-10-19,0,Chittagong
74,2020-10-18,0,Chittagong
75,2020-10-17,0,Chittagong
76,2020-10-16,0,Chittagong
77,2020-10-15,0,Chittagong
78,2020-10-14,0,Chittagong
79,2020-10-13,0,Chittagong
80,2020-10-12,0,Chittagong
81,2020-10-11,0,Chittagong
82,2020-10-10,0,Chittagong
83,2020-10-09,0,Chittagong
84,2020-10-08,0,Chittagong
85,2020-10-07,0,Chittagong
86,2020-10-06,0,Chittagong
87,2020-10-05,0,Chittagong
88,2020-10-04,0,Chittagong
89,2020-10-03,0,Chittagong
90,2020-10-02,0,Chittagong
91,2020-10-01,0,Chittagong
92,2020-09-30,0,Chittagong
93,2020-09-29,0,Chittagong
94,2020-09-28,0,Chittagong
95,2020-09-27,0,Chittagong
96,2020-09-26,0,Chittagong
97,2020-09-25,0,Chittagong
98,2020-09-24,0,Chittagong
99,2020-09-23,0,Chittagong
100,2020-09-22,0,Chittagong
101,2020-09-21,0,Chittagong
102,2020-09-20,0,Chittagong
103,2020-09-19,0,Chittagong
104,2020-09-18,0,Chittagong
105,2020-09-17,0,Chittagong
106,2020-09-16,0,Chittagong
107,2020-09-15,0,Chittagong
108,2020-09-14,0,Chittagong
109,2020-09-13,0,Chittagong
110,2020-09-12,0,Chittagong
111,2020-09-11,0,Chittagong
112,2020-09-10,0,Chittagong
113,2020-09-09,0,Chittagong
114,2020-09-08,0,Chittagong
115,2020-09-07,0,Chittagong
116,2020-09-06,0,Chittagong
117,2020-09-05,0,Chittagong
118,2020-09-04,0,Chittagong
119,2020-09-03,0,Chittagong
120,2020-09-02,0,Chittagong
121,2020-09-01,0,Chittagong
122,2020-08-31,0,Chittagong
123,2020-08-30,0,Chittagong
124,2020-08-29,0,Chittagong
125,2020-08-28,0,Chittagong
126,2020-08-27,0,Chittagong
127,2020-08-26,0,Chittagong
128,2020-08-25,0,Chittagong
129,2020-08-24,0,Chittagong
130,2020-08-23,0,Chittagong
131,2020-08-22,0,Chittagong
132,2020-08-21,0,Chittagong
133,2020-08-20,0,Chittagong
134,2020-08-19,0,Chittagong
135,2020-08-18,0,Chittagong
136,2020-08-17,0,Chittagong
137,2020-08-16,0,Chittagong
138,2020-08-15,0,Chittagong
139,2020-08-14,0,Chittagong
140,2020-08-13,0,Chittagong
141,2020-08-12,0,Chittagong
142,2020-08-11,0,Chittagong
143,2020-08-10,0,Chittagong
144,2020-08-09,0,Chittagong
145,2020-08-08,0,Chittagong
146,2020-08-07,0,Chittagong
147,2020-08-06,0,Chittagong
148,2020-08-05,0,Chittagong
149,2020-08-04,0,Chittagong
150,2020-08-03,0,Chittagong
151,2020-08-02,0,Chittagong
152,2020-08-01,0,Chittagong
153,2020-07-31,0,Chittagong
154,2020-07-30,0,Chittagong
155,2020-07-29,0,Chittagong
156,2020-07-28,0,Chittagong
157,2020-07-27,0,Chittagong
158,2020-07-26,0,Chittagong
159,2020-07-25,0,Chittagong
160,2020-07-24,0,Chittagong
161,2020-07-23,0,Chittagong
162,2020-07-22,0,Chittagong
163,2020-07-21,0,Chittagong
164,2020-07-20,0,Chittagong
165,2020-07-19,0,Chittagong
166,2020-07-18,0,Chittagong
167,2020-07-17,0,Chittagong
168,2020-07-16,0,Chittagong
169,2020-07-15,0,Chittagong
