,date,Infected,Area
0,2020-12-31,0,Mymensing
1,2020-12-30,0,Mymensing
2,2020-12-29,0,Mymensing
3,2020-12-28,0,Mymensing
4,2020-12-27,0,Mymensing
5,2020-12-26,0,Mymensing
6,2020-12-25,0,Mymensing
7,2020-12-24,0,Mymensing
8,2020-12-23,0,Mymensing
9,2020-12-22,0,Mymensing
10,2020-12-21,0,Mymensing
11,2020-12-20,0,Mymensing
12,2020-12-19,0,Mymensing
13,2020-12-18,0,Mymensing
14,2020-12-17,0,Mymensing
15,2020-12-16,0,Mymensing
16,2020-12-15,0,Mymensing
17,2020-12-14,0,Mymensing
18,2020-12-13,0,Mymensing
19,2020-12-12,0,Mymensing
20,2020-12-11,0,Mymensing
21,2020-12-10,0,Mymensing
22,2020-12-09,0,Mymensing
23,2020-12-08,0,Mymensing
24,2020-12-07,0,Mymensing
25,2020-12-06,0,Mymensing
26,2020-12-05,0,Mymensing
27,2020-12-04,0,Mymensing
28,2020-12-03,0,Mymensing
29,2020-12-02,0,Mymensing
30,2020-12-01,0,Mymensing
31,2020-11-30,0,Mymensing
32,2020-11-29,0,Mymensing
33,2020-11-28,0,Mymensing
34,2020-11-27,1,Mymensing
35,2020-11-26,0,Mymensing
36,2020-11-25,0,Mymensing
37,2020-11-24,1,Mymensing
38,2020-11-23,1,Mymensing
39,2020-11-22,0,Mymensing
40,2020-11-21,0,Mymensing
41,2020-11-20,0,Mymensing
42,2020-11-19,0,Mymensing
43,2020-11-18,0,Mymensing
44,2020-11-17,0,Mymensing
45,2020-11-16,0,Mymensing
46,2020-11-15,0,Mymensing
47,2020-11-14,0,Mymensing
48,2020-11-13,1,Mymensing
49,2020-11-12,0,Mymensing
50,2020-11-11,0,Mymensing
51,2020-11-10,1,Mymensing
52,2020-11-09,0,Mymensing
53,2020-11-08,0,Mymensing
54,2020-11-07,0,Mymensing
55,2020-11-06,0,Mymensing
56,2020-11-05,0,Mymensing
57,2020-11-04,0,Mymensing
58,2020-11-03,0,Mymensing
59,2020-11-02,0,Mymensing
60,2020-11-01,0,Mymensing
61,2020-10-31,0,Mymensing
62,2020-10-30,0,Mymensing
63,2020-10-29,0,Mymensing
64,2020-10-28,0,Mymensing
65,2020-10-27,0,Mymensing
66,2020-10-26,0,Mymensing
67,2020-10-25,1,Mymensing
68,2020-10-24,0,Mymensing
69,2020-10-23,0,Mymensing
70,2020-10-22,0,Mymensing
71,2020-10-21,0,Mymensing
72,2020-10-20,1,Mymensing
73,2020-10-19,0,Mymensing
74,2020-10-18,0,Mymensing
75,2020-10-17,0,Mymensing
76,2020-10-16,0,Mymensing
77,2020-10-15,0,Mymensing
78,2020-10-14,0,Mymensing
79,2020-10-13,0,Mymensing
80,2020-10-12,0,Mymensing
81,2020-10-11,0,Mymensing
82,2020-10-10,0,Mymensing
83,2020-10-09,0,Mymensing
84,2020-10-08,0,Mymensing
85,2020-10-07,0,Mymensing
86,2020-10-06,0,Mymensing
87,2020-10-05,0,Mymensing
88,2020-10-04,0,Mymensing
89,2020-10-03,0,Mymensing
90,2020-10-02,0,Mymensing
91,2020-10-01,0,Mymensing
92,2020-09-30,0,Mymensing
93,2020-09-29,0,Mymensing
94,2020-09-28,0,Mymensing
95,2020-09-27,0,Mymensing
96,2020-09-26,0,Mymensing
97,2020-09-25,0,Mymensing
98,2020-09-24,0,Mymensing
99,2020-09-23,0,Mymensing
100,2020-09-22,0,Mymensing
101,2020-09-21,0,Mymensing
102,2020-09-20,0,Mymensing
103,2020-09-19,0,Mymensing
104,2020-09-18,0,Mymensing
105,2020-09-17,0,Mymensing
106,2020-09-16,0,Mymensing
107,2020-09-15,0,Mymensing
108,2020-09-14,0,Mymensing
109,2020-09-13,0,Mymensing
110,2020-09-12,0,Mymensing
111,2020-09-11,0,Mymensing
112,2020-09-10,0,Mymensing
113,2020-09-09,0,Mymensing
114,2020-09-08,0,Mymensing
115,2020-09-07,0,Mymensing
116,2020-09-06,0,Mymensing
117,2020-09-05,0,Mymensing
118,2020-09-04,0,Mymensing
119,2020-09-03,0,Mymensing
120,2020-09-02,0,Mymensing
121,2020-09-01,0,Mymensing
122,2020-08-31,0,Mymensing
123,2020-08-30,0,Mymensing
124,2020-08-29,0,Mymensing
125,2020-08-28,0,Mymensing
126,2020-08-27,0,Mymensing
127,2020-08-26,0,Mymensing
128,2020-08-25,0,Mymensing
129,2020-08-24,0,Mymensing
130,2020-08-23,0,Mymensing
131,2020-08-22,0,Mymensing
132,2020-08-21,0,Mymensing
133,2020-08-20,0,Mymensing
134,2020-08-19,0,Mymensing
135,2020-08-18,0,Mymensing
136,2020-08-17,0,Mymensing
137,2020-08-16,0,Mymensing
138,2020-08-15,0,Mymensing
139,2020-08-14,0,Mymensing
140,2020-08-13,0,Mymensing
141,2020-08-12,0,Mymensing
142,2020-08-11,0,Mymensing
143,2020-08-10,0,Mymensing
144,2020-08-09,0,Mymensing
145,2020-08-08,0,Mymensing
146,2020-08-07,0,Mymensing
147,2020-08-06,0,Mymensing
148,2020-08-05,0,Mymensing
149,2020-08-04,0,Mymensing
150,2020-08-03,0,Mymensing
151,2020-08-02,0,Mymensing
152,2020-08-01,0,Mymensing
153,2020-07-31,0,Mymensing
154,2020-07-30,0,Mymensing
155,2020-07-29,0,Mymensing
156,2020-07-28,0,Mymensing
157,2020-07-27,0,Mymensing
158,2020-07-26,0,Mymensing
159,2020-07-25,0,Mymensing
160,2020-07-24,0,Mymensing
161,2020-07-23,0,Mymensing
162,2020-07-22,0,Mymensing
163,2020-07-21,0,Mymensing
164,2020-07-20,0,Mymensing
165,2020-07-19,0,Mymensing
166,2020-07-18,0,Mymensing
167,2020-07-17,0,Mymensing
168,2020-07-16,0,Mymensing
169,2020-07-15,0,Mymensing
170,2020-07-14,0,Mymensing
171,2020-07-13,0,Mymensing
172,2020-07-12,0,Mymensing
173,2020-07-11,0,Mymensing
174,2020-07-10,0,Mymensing
175,2020-07-09,0,Mymensing
176,2020-07-08,0,Mymensing
177,2020-07-07,0,Mymensing
178,2020-07-06,0,Mymensing
179,2020-07-05,0,Mymensing
180,2020-07-04,0,Mymensing
181,2020-07-03,0,Mymensing
182,2020-07-02,0,Mymensing
183,2020-07-01,0,Mymensing
184,2020-06-30,0,Mymensing
185,2020-06-29,0,Mymensing
186,2020-06-28,0,Mymensing
187,2020-06-27,0,Mymensing
188,2020-06-26,0,Mymensing
189,2020-06-25,0,Mymensing
190,2020-06-24,0,Mymensing
191,2020-06-23,0,Mymensing
192,2020-06-22,0,Mymensing
193,2020-06-21,0,Mymensing
194,2020-06-20,0,Mymensing
195,2020-06-19,0,Mymensing
196,2020-06-18,0,Mymensing
197,2020-06-17,0,Mymensing
198,2020-06-16,0,Mymensing
199,2020-06-15,0,Mymensing
200,2020-06-14,0,Mymensing
201,2020-06-13,0,Mymensing
202,2020-06-12,0,Mymensing
203,2020-06-11,0,Mymensing
204,2020-06-10,0,Mymensing
205,2020-06-09,0,Mymensing
206,2020-06-08,0,Mymensing
207,2020-06-07,0,Mymensing
208,2020-06-06,0,Mymensing
209,2020-06-05,0,Mymensing
210,2020-06-04,0,Mymensing
211,2020-06-03,0,Mymensing
212,2020-06-02,0,Mymensing
213,2020-06-01,0,Mymensing
214,2020-05-31,0,Mymensing
215,2020-05-30,0,Mymensing
216,2020-05-29,0,Mymensing
217,2020-05-28,0,Mymensing
218,2020-05-27,0,Mymensing
219,2020-05-26,0,Mymensing
220,2020-05-25,0,Mymensing
221,2020-05-24,0,Mymensing
222,2020-05-23,0,Mymensing
223,2020-05-22,0,Mymensing
224,2020-05-21,0,Mymensing
225,2020-05-20,0,Mymensing
226,2020-05-19,0,Mymensing
227,2020-05-18,0,Mymensing
228,2020-05-17,0,Mymensing
229,2020-05-16,0,Mymensing
230,2020-05-15,0,Mymensing
231,2020-05-14,0,Mymensing
232,2020-05-13,0,Mymensing
233,2020-05-12,0,Mymensing
234,2020-05-11,0,Mymensing
235,2020-05-10,0,Mymensing
236,2020-05-09,0,Mymensing
237,2020-05-08,0,Mymensing
238,2020-05-07,0,Mymensing
239,2020-05-06,0,Mymensing
240,2020-05-05,1,Mymensing
241,2020-05-04,0,Mymensing
242,2020-05-03,0,Mymensing
243,2020-05-02,0,Mymensing
244,2020-05-01,0,Mymensing
245,2020-04-30,0,Mymensing
246,2020-04-29,0,Mymensing
247,2020-04-28,0,Mymensing
248,2020-04-27,0,Mymensing
249,2020-04-26,0,Mymensing
250,2020-04-25,0,Mymensing
251,2020-04-24,0,Mymensing
252,2020-04-23,0,Mymensing
253,2020-04-22,0,Mymensing
254,2020-04-21,0,Mymensing
255,2020-04-20,0,Mymensing
256,2020-04-19,0,Mymensing
257,2020-04-18,0,Mymensing
258,2020-04-17,0,Mymensing
259,2020-04-16,0,Mymensing
260,2020-04-15,0,Mymensing
261,2020-04-14,0,Mymensing
262,2020-04-13,0,Mymensing
263,2020-04-12,0,Mymensing
264,2020-04-11,0,Mymensing
265,2020-04-10,0,Mymensing
266,2020-04-09,0,Mymensing
267,2020-04-08,0,Mymensing
268,2020-04-07,0,Mymensing
269,2020-04-06,0,Mymensing
270,2020-04-05,0,Mymensing
271,2020-04-04,0,Mymensing
272,2020-04-03,0,Mymensing
273,2020-04-02,0,Mymensing
274,2020-04-01,0,Mymensing
275,2020-03-31,0,Mymensing
276,2020-03-30,0,Mymensing
277,2020-03-29,0,Mymensing
278,2020-03-28,0,Mymensing
279,2020-03-27,0,Mymensing
280,2020-03-26,0,Mymensing
281,2020-03-25,0,Mymensing
282,2020-03-24,0,Mymensing
283,2020-03-23,0,Mymensing
284,2020-03-22,0,Mymensing
285,2020-03-21,0,Mymensing
286,2020-03-20,0,Mymensing
287,2020-03-19,0,Mymensing
288,2020-03-18,0,Mymensing
289,2020-03-17,0,Mymensing
290,2020-03-16,0,Mymensing
291,2020-03-15,0,Mymensing
292,2020-03-14,0,Mymensing
293,2020-03-13,0,Mymensing
294,2020-03-12,0,Mymensing
295,2020-03-11,0,Mymensing
296,2020-03-10,0,Mymensing
297,2020-03-09,0,Mymensing
298,2020-03-08,0,Mymensing
299,2020-03-07,0,Mymensing
300,2020-03-06,0,Mymensing
301,2020-03-05,0,Mymensing
302,2020-03-04,0,Mymensing
303,2020-03-03,0,Mymensing
304,2020-03-02,0,Mymensing
