,date,Infected_Cases,Area
0,2020-12-31,4,Dhaka
1,2020-12-30,2,Dhaka
2,2020-12-29,8,Dhaka
3,2020-12-28,5,Dhaka
4,2020-12-27,7,Dhaka
5,2020-12-26,4,Dhaka
6,2020-12-25,16,Dhaka
7,2020-12-24,7,Dhaka
8,2020-12-23,7,Dhaka
9,2020-12-22,10,Dhaka
10,2020-12-21,10,Dhaka
11,2020-12-20,17,Dhaka
12,2020-12-19,18,Dhaka
13,2020-12-18,21,Dhaka
14,2020-12-17,14,Dhaka
15,2020-12-16,12,Dhaka
16,2020-12-15,20,Dhaka
17,2020-12-14,26,Dhaka
18,2020-12-13,15,Dhaka
19,2020-12-12,24,Dhaka
20,2020-12-11,18,Dhaka
21,2020-12-10,15,Dhaka
22,2020-12-09,21,Dhaka
23,2020-12-08,33,Dhaka
24,2020-12-07,28,Dhaka
25,2020-12-06,43,Dhaka
26,2020-12-05,47,Dhaka
27,2020-12-04,24,Dhaka
28,2020-12-03,25,Dhaka
29,2020-12-02,46,Dhaka
30,2020-12-01,39,Dhaka
31,2020-11-30,59,Dhaka
32,2020-11-29,60,Dhaka
33,2020-11-28,61,Dhaka
34,2020-11-27,57,Dhaka
35,2020-11-26,56,Dhaka
36,2020-11-25,86,Dhaka
37,2020-11-24,87,Dhaka
38,2020-11-23,75,Dhaka
39,2020-11-22,75,Dhaka
40,2020-11-21,75,Dhaka
41,2020-11-20,104,Dhaka
42,2020-11-19,70,Dhaka
43,2020-11-18,103,Dhaka
44,2020-11-17,84,Dhaka
45,2020-11-16,94,Dhaka
46,2020-11-15,110,Dhaka
47,2020-11-14,87,Dhaka
48,2020-11-13,124,Dhaka
49,2020-11-12,98,Dhaka
50,2020-11-11,135,Dhaka
51,2020-11-10,131,Dhaka
52,2020-11-09,82,Dhaka
53,2020-11-08,103,Dhaka
54,2020-11-07,95,Dhaka
55,2020-11-06,104,Dhaka
56,2020-11-05,89,Dhaka
57,2020-11-04,122,Dhaka
58,2020-11-03,131,Dhaka
59,2020-11-02,109,Dhaka
60,2020-11-01,124,Dhaka
61,2020-10-31,104,Dhaka
62,2020-10-30,108,Dhaka
63,2020-10-29,126,Dhaka
64,2020-10-28,139,Dhaka
65,2020-10-27,151,Dhaka
66,2020-10-26,141,Dhaka
67,2020-10-25,154,Dhaka
68,2020-10-24,154,Dhaka
69,2020-10-23,155,Dhaka
70,2020-10-22,116,Dhaka
71,2020-10-21,139,Dhaka
72,2020-10-20,99,Dhaka
73,2020-10-19,105,Dhaka
74,2020-10-18,130,Dhaka
75,2020-10-17,140,Dhaka
76,2020-10-16,141,Dhaka
77,2020-10-15,91,Dhaka
78,2020-10-14,132,Dhaka
79,2020-10-13,163,Dhaka
80,2020-10-12,143,Dhaka
81,2020-10-11,162,Dhaka
82,2020-10-10,164,Dhaka
83,2020-10-09,165,Dhaka
84,2020-10-08,137,Dhaka
85,2020-10-07,173,Dhaka
86,2020-10-06,170,Dhaka
87,2020-10-05,151,Dhaka
88,2020-10-04,162,Dhaka
89,2020-10-03,143,Dhaka
90,2020-10-02,158,Dhaka
91,2020-10-01,141,Dhaka
92,2020-09-30,149,Dhaka
93,2020-09-29,174,Dhaka
94,2020-09-28,167,Dhaka
95,2020-09-27,163,Dhaka
96,2020-09-26,182,Dhaka
97,2020-09-25,163,Dhaka
98,2020-09-24,160,Dhaka
99,2020-09-23,190,Dhaka
100,2020-09-22,171,Dhaka
101,2020-09-21,201,Dhaka
102,2020-09-20,199,Dhaka
103,2020-09-19,181,Dhaka
104,2020-09-18,181,Dhaka
105,2020-09-17,135,Dhaka
106,2020-09-16,175,Dhaka
107,2020-09-15,230,Dhaka
108,2020-09-14,225,Dhaka
109,2020-09-13,244,Dhaka
110,2020-09-12,242,Dhaka
111,2020-09-11,255,Dhaka
112,2020-09-10,223,Dhaka
113,2020-09-09,250,Dhaka
114,2020-09-08,212,Dhaka
115,2020-09-07,283,Dhaka
116,2020-09-06,213,Dhaka
117,2020-09-05,257,Dhaka
118,2020-09-04,231,Dhaka
119,2020-09-03,229,Dhaka
120,2020-09-02,282,Dhaka
121,2020-09-01,243,Dhaka
122,2020-08-31,222,Dhaka
123,2020-08-30,208,Dhaka
124,2020-08-29,198,Dhaka
125,2020-08-28,222,Dhaka
126,2020-08-27,177,Dhaka
127,2020-08-26,216,Dhaka
128,2020-08-25,238,Dhaka
129,2020-08-24,208,Dhaka
130,2020-08-23,237,Dhaka
131,2020-08-22,254,Dhaka
132,2020-08-21,250,Dhaka
133,2020-08-20,207,Dhaka
134,2020-08-19,241,Dhaka
135,2020-08-18,263,Dhaka
136,2020-08-17,305,Dhaka
137,2020-08-16,194,Dhaka
138,2020-08-15,146,Dhaka
139,2020-08-14,175,Dhaka
140,2020-08-13,146,Dhaka
141,2020-08-12,171,Dhaka
142,2020-08-11,149,Dhaka
143,2020-08-10,167,Dhaka
144,2020-08-09,155,Dhaka
145,2020-08-08,161,Dhaka
146,2020-08-07,133,Dhaka
147,2020-08-06,158,Dhaka
148,2020-08-05,157,Dhaka
149,2020-08-04,155,Dhaka
150,2020-08-03,182,Dhaka
151,2020-08-02,210,Dhaka
152,2020-08-01,161,Dhaka
153,2020-07-31,123,Dhaka
154,2020-07-30,125,Dhaka
155,2020-07-29,135,Dhaka
156,2020-07-28,104,Dhaka
157,2020-07-27,91,Dhaka
158,2020-07-26,84,Dhaka
159,2020-07-25,74,Dhaka
160,2020-07-24,56,Dhaka
161,2020-07-23,23,Dhaka
162,2020-07-22,25,Dhaka
163,2020-07-21,11,Dhaka
164,2020-07-20,29,Dhaka
165,2020-07-19,35,Dhaka
166,2020-07-18,28,Dhaka
167,2020-07-17,35,Dhaka
168,2020-07-16,27,Dhaka
169,2020-07-15,35,Dhaka
170,2020-07-14,21,Dhaka
171,2020-07-13,22,Dhaka
172,2020-07-12,31,Dhaka
173,2020-07-11,24,Dhaka
174,2020-07-10,33,Dhaka
175,2020-07-09,6,Dhaka
176,2020-07-08,15,Dhaka
177,2020-07-07,9,Dhaka
178,2020-07-06,17,Dhaka
179,2020-07-05,20,Dhaka
180,2020-07-04,11,Dhaka
181,2020-07-03,12,Dhaka
182,2020-07-02,4,Dhaka
183,2020-07-01,8,Dhaka
184,2020-06-30,10,Dhaka
185,2020-06-29,8,Dhaka
186,2020-06-28,5,Dhaka
187,2020-06-27,12,Dhaka
188,2020-06-26,12,Dhaka
189,2020-06-25,7,Dhaka
190,2020-06-24,4,Dhaka
191,2020-06-23,6,Dhaka
192,2020-06-22,9,Dhaka
193,2020-06-21,2,Dhaka
194,2020-06-20,2,Dhaka
195,2020-06-19,5,Dhaka
196,2020-06-18,0,Dhaka
197,2020-06-17,4,Dhaka
