,date,Infected,Area
0,2020-12-31,1,Mymensingh
1,2020-12-30,0,Mymensingh
2,2020-12-29,1,Mymensingh
3,2020-12-28,0,Mymensingh
4,2020-12-27,1,Mymensingh
5,2020-12-26,0,Mymensingh
6,2020-12-25,3,Mymensingh
7,2020-12-24,3,Mymensingh
8,2020-12-23,3,Mymensingh
9,2020-12-22,0,Mymensingh
10,2020-12-21,2,Mymensingh
11,2020-12-20,2,Mymensingh
12,2020-12-19,1,Mymensingh
13,2020-12-18,1,Mymensingh
14,2020-12-17,0,Mymensingh
15,2020-12-16,1,Mymensingh
16,2020-12-15,1,Mymensingh
17,2020-12-14,5,Mymensingh
18,2020-12-13,3,Mymensingh
19,2020-12-12,1,Mymensingh
20,2020-12-11,4,Mymensingh
21,2020-12-10,3,Mymensingh
22,2020-12-09,1,Mymensingh
23,2020-12-08,4,Mymensingh
24,2020-12-07,8,Mymensingh
25,2020-12-06,2,Mymensingh
26,2020-12-05,5,Mymensingh
27,2020-12-04,9,Mymensingh
28,2020-12-03,5,Mymensingh
29,2020-12-02,3,Mymensingh
30,2020-12-01,7,Mymensingh
31,2020-11-30,9,Mymensingh
32,2020-11-29,8,Mymensingh
33,2020-11-28,9,Mymensingh
34,2020-11-27,6,Mymensingh
35,2020-11-26,7,Mymensingh
36,2020-11-25,8,Mymensingh
37,2020-11-24,4,Mymensingh
38,2020-11-23,7,Mymensingh
39,2020-11-22,13,Mymensingh
40,2020-11-21,13,Mymensingh
41,2020-11-20,9,Mymensingh
42,2020-11-19,10,Mymensingh
43,2020-11-18,14,Mymensingh
44,2020-11-17,14,Mymensingh
45,2020-11-16,16,Mymensingh
46,2020-11-15,9,Mymensingh
47,2020-11-14,13,Mymensingh
48,2020-11-13,27,Mymensingh
49,2020-11-12,18,Mymensingh
50,2020-11-11,9,Mymensingh
51,2020-11-10,14,Mymensingh
52,2020-11-09,14,Mymensingh
53,2020-11-08,14,Mymensingh
54,2020-11-07,25,Mymensingh
55,2020-11-06,20,Mymensingh
56,2020-11-05,13,Mymensingh
57,2020-11-04,9,Mymensingh
58,2020-11-03,21,Mymensingh
59,2020-11-02,6,Mymensingh
60,2020-11-01,28,Mymensingh
61,2020-10-31,20,Mymensingh
62,2020-10-30,17,Mymensingh
63,2020-10-29,12,Mymensingh
64,2020-10-28,19,Mymensingh
65,2020-10-27,21,Mymensingh
66,2020-10-26,27,Mymensingh
67,2020-10-25,17,Mymensingh
68,2020-10-24,23,Mymensingh
69,2020-10-23,14,Mymensingh
70,2020-10-22,19,Mymensingh
71,2020-10-21,6,Mymensingh
72,2020-10-20,16,Mymensingh
73,2020-10-19,13,Mymensingh
74,2020-10-18,21,Mymensingh
75,2020-10-17,5,Mymensingh
76,2020-10-16,16,Mymensingh
77,2020-10-15,20,Mymensingh
78,2020-10-14,1,Mymensingh
79,2020-10-13,15,Mymensingh
80,2020-10-12,8,Mymensingh
81,2020-10-11,8,Mymensingh
82,2020-10-10,15,Mymensingh
83,2020-10-09,6,Mymensingh
84,2020-10-08,5,Mymensingh
85,2020-10-07,6,Mymensingh
86,2020-10-06,10,Mymensingh
