,date,Infected,Area
0,2020-12-31,2,Barisal
1,2020-12-30,0,Barisal
2,2020-12-29,7,Barisal
3,2020-12-28,4,Barisal
4,2020-12-27,3,Barisal
5,2020-12-26,10,Barisal
6,2020-12-25,0,Barisal
7,2020-12-24,5,Barisal
8,2020-12-23,0,Barisal
9,2020-12-22,3,Barisal
10,2020-12-21,3,Barisal
11,2020-12-20,3,Barisal
12,2020-12-19,10,Barisal
13,2020-12-18,7,Barisal
14,2020-12-17,11,Barisal
15,2020-12-16,0,Barisal
16,2020-12-15,6,Barisal
17,2020-12-14,9,Barisal
18,2020-12-13,10,Barisal
19,2020-12-12,19,Barisal
20,2020-12-11,15,Barisal
21,2020-12-10,11,Barisal
22,2020-12-09,4,Barisal
23,2020-12-08,10,Barisal
24,2020-12-07,18,Barisal
25,2020-12-06,9,Barisal
26,2020-12-05,12,Barisal
27,2020-12-04,11,Barisal
28,2020-12-03,16,Barisal
29,2020-12-02,3,Barisal
30,2020-12-01,20,Barisal
31,2020-11-30,20,Barisal
32,2020-11-29,18,Barisal
33,2020-11-28,19,Barisal
34,2020-11-27,24,Barisal
35,2020-11-26,38,Barisal
36,2020-11-25,0,Barisal
37,2020-11-24,38,Barisal
38,2020-11-23,35,Barisal
39,2020-11-22,34,Barisal
40,2020-11-21,33,Barisal
41,2020-11-20,46,Barisal
42,2020-11-19,31,Barisal
43,2020-11-18,4,Barisal
44,2020-11-17,34,Barisal
45,2020-11-16,43,Barisal
46,2020-11-15,43,Barisal
47,2020-11-14,60,Barisal
48,2020-11-13,62,Barisal
49,2020-11-12,60,Barisal
50,2020-11-11,6,Barisal
51,2020-11-10,53,Barisal
52,2020-11-09,53,Barisal
53,2020-11-08,52,Barisal
54,2020-11-07,69,Barisal
55,2020-11-06,65,Barisal
56,2020-11-05,69,Barisal
57,2020-11-04,21,Barisal
58,2020-11-03,60,Barisal
59,2020-11-02,72,Barisal
60,2020-11-01,51,Barisal
61,2020-10-31,75,Barisal
62,2020-10-30,57,Barisal
63,2020-10-29,91,Barisal
64,2020-10-28,7,Barisal
65,2020-10-27,76,Barisal
66,2020-10-26,54,Barisal
67,2020-10-25,16,Barisal
68,2020-10-24,48,Barisal
69,2020-10-23,75,Barisal
70,2020-10-22,82,Barisal
71,2020-10-21,10,Barisal
72,2020-10-20,72,Barisal
73,2020-10-19,42,Barisal
74,2020-10-18,44,Barisal
75,2020-10-17,68,Barisal
76,2020-10-16,47,Barisal
77,2020-10-15,51,Barisal
78,2020-10-14,20,Barisal
79,2020-10-13,40,Barisal
80,2020-10-12,49,Barisal
81,2020-10-11,34,Barisal
82,2020-10-10,51,Barisal
83,2020-10-09,9,Barisal
84,2020-10-08,42,Barisal
85,2020-10-07,1,Barisal
86,2020-10-06,35,Barisal
87,2020-10-05,6,Barisal
88,2020-10-04,24,Barisal
89,2020-10-03,23,Barisal
90,2020-10-02,44,Barisal
91,2020-10-01,17,Barisal
92,2020-09-30,2,Barisal
93,2020-09-29,21,Barisal
94,2020-09-28,19,Barisal
95,2020-09-27,17,Barisal
96,2020-09-26,14,Barisal
97,2020-09-25,19,Barisal
98,2020-09-24,9,Barisal
99,2020-09-23,1,Barisal
100,2020-09-22,17,Barisal
101,2020-09-21,17,Barisal
102,2020-09-20,13,Barisal
103,2020-09-19,19,Barisal
104,2020-09-18,11,Barisal
105,2020-09-17,17,Barisal
106,2020-09-16,0,Barisal
107,2020-09-15,8,Barisal
108,2020-09-14,16,Barisal
109,2020-09-13,15,Barisal
110,2020-09-12,18,Barisal
111,2020-09-11,11,Barisal
112,2020-09-10,8,Barisal
113,2020-09-09,0,Barisal
114,2020-09-08,20,Barisal
115,2020-09-07,6,Barisal
