,date,Infected,Area
0,2020-12-31,1,Khulna
1,2020-12-30,1,Khulna
2,2020-12-29,4,Khulna
3,2020-12-28,5,Khulna
4,2020-12-27,0,Khulna
5,2020-12-26,8,Khulna
6,2020-12-25,0,Khulna
7,2020-12-24,0,Khulna
8,2020-12-23,3,Khulna
9,2020-12-22,9,Khulna
10,2020-12-21,8,Khulna
11,2020-12-20,4,Khulna
12,2020-12-19,6,Khulna
13,2020-12-18,14,Khulna
14,2020-12-17,7,Khulna
15,2020-12-16,4,Khulna
16,2020-12-15,6,Khulna
17,2020-12-14,4,Khulna
18,2020-12-13,9,Khulna
19,2020-12-12,13,Khulna
20,2020-12-11,12,Khulna
21,2020-12-10,3,Khulna
22,2020-12-09,9,Khulna
23,2020-12-08,11,Khulna
24,2020-12-07,12,Khulna
25,2020-12-06,11,Khulna
26,2020-12-05,13,Khulna
27,2020-12-04,19,Khulna
28,2020-12-03,21,Khulna
29,2020-12-02,3,Khulna
30,2020-12-01,14,Khulna
31,2020-11-30,14,Khulna
32,2020-11-29,25,Khulna
33,2020-11-28,25,Khulna
34,2020-11-27,31,Khulna
35,2020-11-26,12,Khulna
36,2020-11-25,4,Khulna
37,2020-11-24,21,Khulna
38,2020-11-23,19,Khulna
39,2020-11-22,40,Khulna
40,2020-11-21,31,Khulna
41,2020-11-20,39,Khulna
42,2020-11-19,44,Khulna
43,2020-11-18,17,Khulna
44,2020-11-17,52,Khulna
45,2020-11-16,25,Khulna
46,2020-11-15,45,Khulna
47,2020-11-14,53,Khulna
48,2020-11-13,48,Khulna
49,2020-11-12,54,Khulna
50,2020-11-11,20,Khulna
51,2020-11-10,59,Khulna
52,2020-11-09,51,Khulna
53,2020-11-08,74,Khulna
54,2020-11-07,63,Khulna
55,2020-11-06,45,Khulna
56,2020-11-05,85,Khulna
57,2020-11-04,32,Khulna
58,2020-11-03,59,Khulna
59,2020-11-02,56,Khulna
60,2020-11-01,57,Khulna
61,2020-10-31,48,Khulna
62,2020-10-30,67,Khulna
63,2020-10-29,41,Khulna
64,2020-10-28,15,Khulna
65,2020-10-27,51,Khulna
66,2020-10-26,65,Khulna
67,2020-10-25,42,Khulna
68,2020-10-24,37,Khulna
69,2020-10-23,65,Khulna
70,2020-10-22,61,Khulna
71,2020-10-21,33,Khulna
72,2020-10-20,67,Khulna
73,2020-10-19,40,Khulna
74,2020-10-18,43,Khulna
75,2020-10-17,65,Khulna
76,2020-10-16,62,Khulna
77,2020-10-15,32,Khulna
78,2020-10-14,26,Khulna
79,2020-10-13,48,Khulna
80,2020-10-12,40,Khulna
81,2020-10-11,48,Khulna
82,2020-10-10,34,Khulna
83,2020-10-09,34,Khulna
84,2020-10-08,28,Khulna
85,2020-10-07,13,Khulna
86,2020-10-06,43,Khulna
87,2020-10-05,15,Khulna
88,2020-10-04,29,Khulna
89,2020-10-03,39,Khulna
90,2020-10-02,31,Khulna
91,2020-10-01,26,Khulna
92,2020-09-30,18,Khulna
93,2020-09-29,44,Khulna
94,2020-09-28,24,Khulna
95,2020-09-27,40,Khulna
96,2020-09-26,50,Khulna
97,2020-09-25,30,Khulna
98,2020-09-24,13,Khulna
99,2020-09-23,7,Khulna
100,2020-09-22,20,Khulna
101,2020-09-21,24,Khulna
102,2020-09-20,32,Khulna
103,2020-09-19,20,Khulna
104,2020-09-18,34,Khulna
105,2020-09-17,14,Khulna
106,2020-09-16,6,Khulna
107,2020-09-15,17,Khulna
108,2020-09-14,32,Khulna
109,2020-09-13,16,Khulna
110,2020-09-12,13,Khulna
111,2020-09-11,15,Khulna
112,2020-09-10,4,Khulna
113,2020-09-09,1,Khulna
114,2020-09-08,7,Khulna
115,2020-09-07,20,Khulna
116,2020-09-06,13,Khulna
117,2020-09-05,8,Khulna
118,2020-09-04,14,Khulna
119,2020-09-03,7,Khulna
120,2020-09-02,6,Khulna
121,2020-09-01,7,Khulna
122,2020-08-31,7,Khulna
123,2020-08-30,2,Khulna
124,2020-08-29,0,Khulna
125,2020-08-28,1,Khulna
126,2020-08-27,2,Khulna
127,2020-08-26,1,Khulna
128,2020-08-25,1,Khulna
129,2020-08-24,6,Khulna
130,2020-08-23,1,Khulna
131,2020-08-22,3,Khulna
132,2020-08-21,0,Khulna
133,2020-08-20,0,Khulna
