,date,Infected,Area
0,2020-12-31,1,Rajshahi
1,2020-12-30,2,Rajshahi
2,2020-12-29,3,Rajshahi
3,2020-12-28,0,Rajshahi
4,2020-12-27,0,Rajshahi
5,2020-12-26,0,Rajshahi
6,2020-12-25,0,Rajshahi
7,2020-12-24,1,Rajshahi
8,2020-12-23,3,Rajshahi
9,2020-12-22,1,Rajshahi
10,2020-12-21,0,Rajshahi
11,2020-12-20,1,Rajshahi
12,2020-12-19,5,Rajshahi
13,2020-12-18,5,Rajshahi
14,2020-12-17,1,Rajshahi
15,2020-12-16,1,Rajshahi
16,2020-12-15,7,Rajshahi
17,2020-12-14,3,Rajshahi
18,2020-12-13,3,Rajshahi
19,2020-12-12,2,Rajshahi
20,2020-12-11,4,Rajshahi
21,2020-12-10,2,Rajshahi
22,2020-12-09,4,Rajshahi
23,2020-12-08,10,Rajshahi
24,2020-12-07,5,Rajshahi
25,2020-12-06,7,Rajshahi
26,2020-12-05,8,Rajshahi
27,2020-12-04,9,Rajshahi
28,2020-12-03,10,Rajshahi
29,2020-12-02,4,Rajshahi
30,2020-12-01,9,Rajshahi
31,2020-11-30,9,Rajshahi
32,2020-11-29,5,Rajshahi
33,2020-11-28,12,Rajshahi
34,2020-11-27,13,Rajshahi
35,2020-11-26,14,Rajshahi
36,2020-11-25,15,Rajshahi
37,2020-11-24,19,Rajshahi
38,2020-11-23,15,Rajshahi
39,2020-11-22,17,Rajshahi
40,2020-11-21,10,Rajshahi
41,2020-11-20,18,Rajshahi
42,2020-11-19,20,Rajshahi
43,2020-11-18,9,Rajshahi
44,2020-11-17,23,Rajshahi
45,2020-11-16,22,Rajshahi
46,2020-11-15,23,Rajshahi
47,2020-11-14,19,Rajshahi
48,2020-11-13,35,Rajshahi
49,2020-11-12,41,Rajshahi
50,2020-11-11,13,Rajshahi
51,2020-11-10,29,Rajshahi
52,2020-11-09,31,Rajshahi
53,2020-11-08,33,Rajshahi
54,2020-11-07,36,Rajshahi
55,2020-11-06,47,Rajshahi
56,2020-11-05,22,Rajshahi
57,2020-11-04,25,Rajshahi
58,2020-11-03,54,Rajshahi
59,2020-11-02,67,Rajshahi
60,2020-11-01,59,Rajshahi
61,2020-10-31,33,Rajshahi
62,2020-10-30,36,Rajshahi
63,2020-10-29,37,Rajshahi
64,2020-10-28,23,Rajshahi
65,2020-10-27,34,Rajshahi
66,2020-10-26,54,Rajshahi
67,2020-10-25,40,Rajshahi
68,2020-10-24,30,Rajshahi
69,2020-10-23,41,Rajshahi
70,2020-10-22,25,Rajshahi
71,2020-10-21,29,Rajshahi
72,2020-10-20,52,Rajshahi
73,2020-10-19,43,Rajshahi
74,2020-10-18,51,Rajshahi
75,2020-10-17,26,Rajshahi
76,2020-10-16,43,Rajshahi
77,2020-10-15,32,Rajshahi
78,2020-10-14,33,Rajshahi
79,2020-10-13,40,Rajshahi
80,2020-10-12,41,Rajshahi
81,2020-10-11,18,Rajshahi
82,2020-10-10,19,Rajshahi
83,2020-10-09,15,Rajshahi
84,2020-10-08,18,Rajshahi
85,2020-10-07,25,Rajshahi
86,2020-10-06,12,Rajshahi
87,2020-10-05,8,Rajshahi
88,2020-10-04,27,Rajshahi
89,2020-10-03,28,Rajshahi
90,2020-10-02,22,Rajshahi
91,2020-10-01,28,Rajshahi
92,2020-09-30,16,Rajshahi
93,2020-09-29,20,Rajshahi
94,2020-09-28,30,Rajshahi
95,2020-09-27,22,Rajshahi
96,2020-09-26,23,Rajshahi
97,2020-09-25,12,Rajshahi
98,2020-09-24,15,Rajshahi
99,2020-09-23,2,Rajshahi
100,2020-09-22,18,Rajshahi
101,2020-09-21,16,Rajshahi
102,2020-09-20,10,Rajshahi
103,2020-09-19,26,Rajshahi
104,2020-09-18,12,Rajshahi
105,2020-09-17,8,Rajshahi
106,2020-09-16,9,Rajshahi
107,2020-09-15,15,Rajshahi
108,2020-09-14,4,Rajshahi
109,2020-09-13,3,Rajshahi
110,2020-09-12,9,Rajshahi
111,2020-09-11,1,Rajshahi
112,2020-09-10,0,Rajshahi
113,2020-09-09,4,Rajshahi
114,2020-09-08,3,Rajshahi
115,2020-09-07,0,Rajshahi
116,2020-09-06,0,Rajshahi
117,2020-09-05,0,Rajshahi
118,2020-09-04,0,Rajshahi
119,2020-09-03,0,Rajshahi
120,2020-09-02,0,Rajshahi
121,2020-09-01,0,Rajshahi
122,2020-08-31,0,Rajshahi
123,2020-08-30,0,Rajshahi
124,2020-08-29,0,Rajshahi
125,2020-08-28,0,Rajshahi
126,2020-08-27,0,Rajshahi
127,2020-08-26,0,Rajshahi
128,2020-08-25,0,Rajshahi
129,2020-08-24,0,Rajshahi
130,2020-08-23,0,Rajshahi
131,2020-08-22,0,Rajshahi
132,2020-08-21,0,Rajshahi
133,2020-08-20,0,Rajshahi
134,2020-08-19,1,Rajshahi
135,2020-08-18,0,Rajshahi
136,2020-08-17,0,Rajshahi
137,2020-08-16,0,Rajshahi
138,2020-08-15,0,Rajshahi
139,2020-08-14,0,Rajshahi
140,2020-08-13,0,Rajshahi
141,2020-08-12,0,Rajshahi
142,2020-08-11,0,Rajshahi
143,2020-08-10,0,Rajshahi
144,2020-08-09,0,Rajshahi
145,2020-08-08,0,Rajshahi
146,2020-08-07,0,Rajshahi
147,2020-08-06,0,Rajshahi
148,2020-08-05,0,Rajshahi
149,2020-08-04,0,Rajshahi
150,2020-08-03,0,Rajshahi
151,2020-08-02,0,Rajshahi
152,2020-08-01,0,Rajshahi
153,2020-07-31,1,Rajshahi
154,2020-07-30,0,Rajshahi
155,2020-07-29,0,Rajshahi
156,2020-07-28,0,Rajshahi
157,2020-07-27,0,Rajshahi
158,2020-07-26,0,Rajshahi
159,2020-07-25,0,Rajshahi
160,2020-07-24,1,Rajshahi
161,2020-07-23,0,Rajshahi
162,2020-07-22,0,Rajshahi
163,2020-07-21,0,Rajshahi
164,2020-07-20,0,Rajshahi
165,2020-07-19,0,Rajshahi
166,2020-07-18,0,Rajshahi
167,2020-07-17,0,Rajshahi
168,2020-07-16,0,Rajshahi
169,2020-07-15,0,Rajshahi
170,2020-07-14,0,Rajshahi
171,2020-07-13,0,Rajshahi
172,2020-07-12,0,Rajshahi
173,2020-07-11,0,Rajshahi
174,2020-07-10,0,Rajshahi
175,2020-07-09,0,Rajshahi
176,2020-07-08,0,Rajshahi
177,2020-07-07,0,Rajshahi
178,2020-07-06,0,Rajshahi
179,2020-07-05,0,Rajshahi
180,2020-07-04,0,Rajshahi
181,2020-07-03,0,Rajshahi
182,2020-07-02,0,Rajshahi
183,2020-07-01,0,Rajshahi
184,2020-06-30,0,Rajshahi
185,2020-06-29,0,Rajshahi
186,2020-06-28,0,Rajshahi
187,2020-06-27,0,Rajshahi
188,2020-06-26,0,Rajshahi
189,2020-06-25,0,Rajshahi
190,2020-06-24,0,Rajshahi
191,2020-06-23,0,Rajshahi
192,2020-06-22,0,Rajshahi
193,2020-06-21,0,Rajshahi
194,2020-06-20,0,Rajshahi
195,2020-06-19,0,Rajshahi
196,2020-06-18,0,Rajshahi
197,2020-06-17,0,Rajshahi
198,2020-06-16,0,Rajshahi
199,2020-06-15,0,Rajshahi
200,2020-06-14,0,Rajshahi
201,2020-06-13,0,Rajshahi
202,2020-06-12,0,Rajshahi
203,2020-06-11,0,Rajshahi
204,2020-06-10,0,Rajshahi
205,2020-06-09,0,Rajshahi
206,2020-06-08,0,Rajshahi
207,2020-06-07,0,Rajshahi
208,2020-06-06,0,Rajshahi
209,2020-06-05,0,Rajshahi
210,2020-06-04,0,Rajshahi
211,2020-06-03,0,Rajshahi
212,2020-06-02,0,Rajshahi
213,2020-06-01,0,Rajshahi
214,2020-05-31,0,Rajshahi
215,2020-05-30,0,Rajshahi
216,2020-05-29,0,Rajshahi
217,2020-05-28,0,Rajshahi
218,2020-05-27,0,Rajshahi
219,2020-05-26,0,Rajshahi
220,2020-05-25,0,Rajshahi
221,2020-05-24,0,Rajshahi
222,2020-05-23,0,Rajshahi
223,2020-05-22,0,Rajshahi
224,2020-05-21,0,Rajshahi
225,2020-05-20,0,Rajshahi
226,2020-05-19,0,Rajshahi
227,2020-05-18,0,Rajshahi
228,2020-05-17,0,Rajshahi
229,2020-05-16,0,Rajshahi
230,2020-05-15,0,Rajshahi
231,2020-05-14,0,Rajshahi
232,2020-05-13,0,Rajshahi
233,2020-05-12,0,Rajshahi
234,2020-05-11,0,Rajshahi
235,2020-05-10,0,Rajshahi
236,2020-05-09,0,Rajshahi
237,2020-05-08,0,Rajshahi
238,2020-05-07,0,Rajshahi
239,2020-05-06,0,Rajshahi
240,2020-05-05,0,Rajshahi
241,2020-05-04,0,Rajshahi
242,2020-05-03,0,Rajshahi
243,2020-05-02,0,Rajshahi
244,2020-05-01,0,Rajshahi
245,2020-04-30,0,Rajshahi
246,2020-04-29,0,Rajshahi
247,2020-04-28,0,Rajshahi
248,2020-04-27,0,Rajshahi
249,2020-04-26,0,Rajshahi
250,2020-04-25,0,Rajshahi
251,2020-04-24,0,Rajshahi
252,2020-04-23,0,Rajshahi
253,2020-04-22,0,Rajshahi
254,2020-04-21,0,Rajshahi
255,2020-04-20,0,Rajshahi
256,2020-04-19,0,Rajshahi
257,2020-04-18,0,Rajshahi
258,2020-04-17,0,Rajshahi
259,2020-04-16,0,Rajshahi
260,2020-04-15,0,Rajshahi
261,2020-04-14,0,Rajshahi
262,2020-04-13,0,Rajshahi
263,2020-04-12,0,Rajshahi
264,2020-04-11,0,Rajshahi
265,2020-04-10,0,Rajshahi
266,2020-04-09,0,Rajshahi
267,2020-04-08,0,Rajshahi
268,2020-04-07,0,Rajshahi
269,2020-04-06,0,Rajshahi
270,2020-04-05,0,Rajshahi
271,2020-04-04,0,Rajshahi
272,2020-04-03,0,Rajshahi
273,2020-04-02,0,Rajshahi
274,2020-04-01,0,Rajshahi
275,2020-03-31,0,Rajshahi
276,2020-03-30,0,Rajshahi
277,2020-03-29,1,Rajshahi
278,2020-03-28,0,Rajshahi
279,2020-03-27,0,Rajshahi
280,2020-03-26,0,Rajshahi
281,2020-03-25,0,Rajshahi
282,2020-03-24,0,Rajshahi
283,2020-03-23,0,Rajshahi
284,2020-03-22,0,Rajshahi
285,2020-03-21,0,Rajshahi
286,2020-03-20,0,Rajshahi
287,2020-03-19,0,Rajshahi
288,2020-03-18,0,Rajshahi
289,2020-03-17,0,Rajshahi
290,2020-03-16,0,Rajshahi
291,2020-03-15,0,Rajshahi
292,2020-03-14,0,Rajshahi
293,2020-03-13,0,Rajshahi
294,2020-03-12,0,Rajshahi
295,2020-03-11,0,Rajshahi
296,2020-03-10,0,Rajshahi
297,2020-03-09,0,Rajshahi
298,2020-03-08,0,Rajshahi
299,2020-03-07,0,Rajshahi
300,2020-03-06,0,Rajshahi
301,2020-03-05,0,Rajshahi
302,2020-03-04,0,Rajshahi
303,2020-03-03,0,Rajshahi
304,2020-03-02,0,Rajshahi
305,2020-03-01,0,Rajshahi
306,2020-02-28,0,Rajshahi
307,2020-02-27,0,Rajshahi
308,2020-02-26,0,Rajshahi
309,2020-02-25,0,Rajshahi
310,2020-02-24,0,Rajshahi
311,2020-02-23,0,Rajshahi
312,2020-02-22,0,Rajshahi
313,2020-02-21,0,Rajshahi
314,2020-02-20,0,Rajshahi
315,2020-02-19,0,Rajshahi
316,2020-02-18,0,Rajshahi
317,2020-02-17,0,Rajshahi
318,2020-02-16,0,Rajshahi
319,2020-02-15,0,Rajshahi
320,2020-02-14,0,Rajshahi
321,2020-02-13,0,Rajshahi
322,2020-02-12,0,Rajshahi
323,2020-02-11,0,Rajshahi
324,2020-02-10,0,Rajshahi
325,2020-02-09,0,Rajshahi
326,2020-02-08,0,Rajshahi
327,2020-02-07,0,Rajshahi
328,2020-02-06,0,Rajshahi
329,2020-02-05,0,Rajshahi
330,2020-02-04,0,Rajshahi
331,2020-02-03,0,Rajshahi
332,2020-02-02,0,Rajshahi
333,2020-02-01,0,Rajshahi
334,2020-01-31,0,Rajshahi
335,2020-01-30,0,Rajshahi
336,2020-01-29,0,Rajshahi
337,2020-01-28,0,Rajshahi
338,2020-01-27,0,Rajshahi
339,2020-01-26,0,Rajshahi
340,2020-01-25,0,Rajshahi
341,2020-01-24,0,Rajshahi
342,2020-01-23,0,Rajshahi
343,2020-01-22,0,Rajshahi
344,2020-01-21,0,Rajshahi
345,2020-01-20,0,Rajshahi
346,2020-01-19,0,Rajshahi
347,2020-01-18,0,Rajshahi
348,2020-01-17,0,Rajshahi
349,2020-01-16,0,Rajshahi
350,2020-01-15,0,Rajshahi
351,2020-01-14,0,Rajshahi
352,2020-01-13,0,Rajshahi
353,2020-01-12,0,Rajshahi
354,2020-01-11,0,Rajshahi
355,2020-01-10,0,Rajshahi
356,2020-01-09,0,Rajshahi
357,2020-01-08,0,Rajshahi
358,2020-01-07,0,Rajshahi
359,2020-01-06,0,Rajshahi
360,2020-01-05,0,Rajshahi
361,2020-01-04,0,Rajshahi
362,2020-01-03,0,Rajshahi
363,2020-01-02,0,Rajshahi
