,date,Infected,Area
0,2020-12-31,1,Rangpur
1,2020-12-30,0,Rangpur
2,2020-12-29,0,Rangpur
3,2020-12-28,1,Rangpur
4,2020-12-27,0,Rangpur
5,2020-12-26,0,Rangpur
6,2020-12-25,1,Rangpur
7,2020-12-24,0,Rangpur
8,2020-12-23,0,Rangpur
9,2020-12-22,0,Rangpur
10,2020-12-21,0,Rangpur
11,2020-12-20,0,Rangpur
12,2020-12-19,0,Rangpur
13,2020-12-18,0,Rangpur
14,2020-12-17,0,Rangpur
15,2020-12-16,0,Rangpur
16,2020-12-15,0,Rangpur
17,2020-12-14,0,Rangpur
18,2020-12-13,0,Rangpur
19,2020-12-12,0,Rangpur
20,2020-12-11,1,Rangpur
21,2020-12-10,1,Rangpur
22,2020-12-09,1,Rangpur
23,2020-12-08,0,Rangpur
24,2020-12-07,1,Rangpur
25,2020-12-06,2,Rangpur
26,2020-12-05,3,Rangpur
27,2020-12-04,1,Rangpur
28,2020-12-03,2,Rangpur
29,2020-12-02,0,Rangpur
30,2020-12-01,0,Rangpur
31,2020-11-30,0,Rangpur
32,2020-11-29,1,Rangpur
33,2020-11-28,0,Rangpur
34,2020-11-27,2,Rangpur
35,2020-11-26,1,Rangpur
36,2020-11-25,0,Rangpur
37,2020-11-24,5,Rangpur
38,2020-11-23,2,Rangpur
39,2020-11-22,1,Rangpur
40,2020-11-21,5,Rangpur
41,2020-11-20,6,Rangpur
42,2020-11-19,0,Rangpur
43,2020-11-18,0,Rangpur
44,2020-11-17,3,Rangpur
45,2020-11-16,1,Rangpur
46,2020-11-15,3,Rangpur
47,2020-11-14,3,Rangpur
48,2020-11-13,0,Rangpur
49,2020-11-12,5,Rangpur
50,2020-11-11,0,Rangpur
51,2020-11-10,6,Rangpur
52,2020-11-09,4,Rangpur
53,2020-11-08,6,Rangpur
54,2020-11-07,6,Rangpur
55,2020-11-06,3,Rangpur
56,2020-11-05,5,Rangpur
57,2020-11-04,0,Rangpur
58,2020-11-03,19,Rangpur
59,2020-11-02,0,Rangpur
60,2020-11-01,1,Rangpur
61,2020-10-31,4,Rangpur
62,2020-10-30,3,Rangpur
63,2020-10-29,4,Rangpur
64,2020-10-28,0,Rangpur
65,2020-10-27,1,Rangpur
66,2020-10-26,2,Rangpur
67,2020-10-25,6,Rangpur
68,2020-10-24,6,Rangpur
69,2020-10-23,0,Rangpur
70,2020-10-22,6,Rangpur
71,2020-10-21,0,Rangpur
72,2020-10-20,1,Rangpur
73,2020-10-19,0,Rangpur
74,2020-10-18,1,Rangpur
75,2020-10-17,0,Rangpur
76,2020-10-16,2,Rangpur
77,2020-10-15,0,Rangpur
78,2020-10-14,0,Rangpur
79,2020-10-13,1,Rangpur
80,2020-10-12,3,Rangpur
81,2020-10-11,2,Rangpur
82,2020-10-10,8,Rangpur
83,2020-10-09,1,Rangpur
84,2020-10-08,0,Rangpur
85,2020-10-07,0,Rangpur
86,2020-10-06,0,Rangpur
87,2020-10-05,0,Rangpur
88,2020-10-04,0,Rangpur
89,2020-10-03,1,Rangpur
90,2020-10-02,0,Rangpur
91,2020-10-01,0,Rangpur
92,2020-09-30,0,Rangpur
