,date,Infected,Area
0,2020-12-31,0,Sylhet
1,2020-12-30,0,Sylhet
2,2020-12-29,0,Sylhet
3,2020-12-28,0,Sylhet
4,2020-12-27,0,Sylhet
5,2020-12-26,0,Sylhet
6,2020-12-25,0,Sylhet
7,2020-12-24,0,Sylhet
8,2020-12-23,0,Sylhet
9,2020-12-22,0,Sylhet
10,2020-12-21,0,Sylhet
11,2020-12-20,0,Sylhet
12,2020-12-19,0,Sylhet
13,2020-12-18,0,Sylhet
14,2020-12-17,0,Sylhet
15,2020-12-16,1,Sylhet
16,2020-12-15,0,Sylhet
17,2020-12-14,0,Sylhet
18,2020-12-13,0,Sylhet
19,2020-12-12,0,Sylhet
20,2020-12-11,0,Sylhet
21,2020-12-10,0,Sylhet
22,2020-12-09,0,Sylhet
23,2020-12-08,0,Sylhet
24,2020-12-07,0,Sylhet
25,2020-12-06,0,Sylhet
26,2020-12-05,0,Sylhet
27,2020-12-04,0,Sylhet
28,2020-12-03,5,Sylhet
29,2020-12-02,0,Sylhet
30,2020-12-01,0,Sylhet
31,2020-11-30,0,Sylhet
32,2020-11-29,3,Sylhet
33,2020-11-28,0,Sylhet
34,2020-11-27,3,Sylhet
35,2020-11-26,0,Sylhet
36,2020-11-25,0,Sylhet
37,2020-11-24,1,Sylhet
38,2020-11-23,0,Sylhet
39,2020-11-22,0,Sylhet
40,2020-11-21,0,Sylhet
41,2020-11-20,0,Sylhet
42,2020-11-19,0,Sylhet
43,2020-11-18,1,Sylhet
44,2020-11-17,1,Sylhet
45,2020-11-16,3,Sylhet
46,2020-11-15,1,Sylhet
47,2020-11-14,0,Sylhet
48,2020-11-13,7,Sylhet
49,2020-11-12,0,Sylhet
50,2020-11-11,0,Sylhet
51,2020-11-10,6,Sylhet
52,2020-11-09,3,Sylhet
53,2020-11-08,8,Sylhet
54,2020-11-07,2,Sylhet
55,2020-11-06,1,Sylhet
56,2020-11-05,1,Sylhet
57,2020-11-04,0,Sylhet
58,2020-11-03,4,Sylhet
59,2020-11-02,4,Sylhet
60,2020-11-01,3,Sylhet
