,date,Infected_Cases,Area
0,2020-12-31,0,Dhaka_inner
1,2020-12-30,2,Dhaka_inner
2,2020-12-29,6,Dhaka_inner
3,2020-12-28,0,Dhaka_inner
4,2020-12-27,4,Dhaka_inner
5,2020-12-26,2,Dhaka_inner
6,2020-12-25,1,Dhaka_inner
7,2020-12-24,0,Dhaka_inner
8,2020-12-23,2,Dhaka_inner
9,2020-12-22,2,Dhaka_inner
10,2020-12-21,5,Dhaka_inner
11,2020-12-20,2,Dhaka_inner
12,2020-12-19,8,Dhaka_inner
13,2020-12-18,2,Dhaka_inner
14,2020-12-17,4,Dhaka_inner
15,2020-12-16,2,Dhaka_inner
16,2020-12-15,3,Dhaka_inner
17,2020-12-14,8,Dhaka_inner
18,2020-12-13,5,Dhaka_inner
19,2020-12-12,6,Dhaka_inner
20,2020-12-11,3,Dhaka_inner
21,2020-12-10,7,Dhaka_inner
22,2020-12-09,9,Dhaka_inner
23,2020-12-08,14,Dhaka_inner
24,2020-12-07,17,Dhaka_inner
25,2020-12-06,5,Dhaka_inner
26,2020-12-05,20,Dhaka_inner
27,2020-12-04,7,Dhaka_inner
28,2020-12-03,12,Dhaka_inner
29,2020-12-02,13,Dhaka_inner
30,2020-12-01,20,Dhaka_inner
31,2020-11-30,17,Dhaka_inner
32,2020-11-29,16,Dhaka_inner
33,2020-11-28,26,Dhaka_inner
34,2020-11-27,11,Dhaka_inner
35,2020-11-26,18,Dhaka_inner
36,2020-11-25,21,Dhaka_inner
37,2020-11-24,16,Dhaka_inner
38,2020-11-23,14,Dhaka_inner
39,2020-11-22,19,Dhaka_inner
40,2020-11-21,20,Dhaka_inner
41,2020-11-20,14,Dhaka_inner
42,2020-11-19,26,Dhaka_inner
43,2020-11-18,16,Dhaka_inner
44,2020-11-17,19,Dhaka_inner
45,2020-11-16,17,Dhaka_inner
46,2020-11-15,18,Dhaka_inner
47,2020-11-14,19,Dhaka_inner
48,2020-11-13,13,Dhaka_inner
49,2020-11-12,19,Dhaka_inner
50,2020-11-11,25,Dhaka_inner
51,2020-11-10,19,Dhaka_inner
52,2020-11-09,5,Dhaka_inner
53,2020-11-08,23,Dhaka_inner
54,2020-11-07,15,Dhaka_inner
55,2020-11-06,12,Dhaka_inner
56,2020-11-05,10,Dhaka_inner
57,2020-11-04,9,Dhaka_inner
58,2020-11-03,13,Dhaka_inner
59,2020-11-02,8,Dhaka_inner
60,2020-11-01,15,Dhaka_inner
61,2020-10-31,11,Dhaka_inner
62,2020-10-30,12,Dhaka_inner
63,2020-10-29,7,Dhaka_inner
64,2020-10-28,10,Dhaka_inner
65,2020-10-27,9,Dhaka_inner
66,2020-10-26,3,Dhaka_inner
67,2020-10-25,9,Dhaka_inner
68,2020-10-24,5,Dhaka_inner
69,2020-10-23,8,Dhaka_inner
70,2020-10-22,6,Dhaka_inner
71,2020-10-21,7,Dhaka_inner
72,2020-10-20,8,Dhaka_inner
73,2020-10-19,3,Dhaka_inner
74,2020-10-18,2,Dhaka_inner
75,2020-10-17,8,Dhaka_inner
76,2020-10-16,1,Dhaka_inner
77,2020-10-15,3,Dhaka_inner
78,2020-10-14,7,Dhaka_inner
79,2020-10-13,2,Dhaka_inner
80,2020-10-12,3,Dhaka_inner
81,2020-10-11,6,Dhaka_inner
82,2020-10-10,4,Dhaka_inner
83,2020-10-09,1,Dhaka_inner
84,2020-10-08,2,Dhaka_inner
85,2020-10-07,3,Dhaka_inner
86,2020-10-06,4,Dhaka_inner
87,2020-10-05,2,Dhaka_inner
88,2020-10-04,2,Dhaka_inner
89,2020-10-03,4,Dhaka_inner
90,2020-10-02,2,Dhaka_inner
91,2020-10-01,0,Dhaka_inner
92,2020-09-30,4,Dhaka_inner
93,2020-09-29,0,Dhaka_inner
94,2020-09-28,1,Dhaka_inner
95,2020-09-27,4,Dhaka_inner
96,2020-09-26,3,Dhaka_inner
97,2020-09-25,0,Dhaka_inner
98,2020-09-24,0,Dhaka_inner
99,2020-09-23,3,Dhaka_inner
100,2020-09-22,1,Dhaka_inner
101,2020-09-21,1,Dhaka_inner
102,2020-09-20,2,Dhaka_inner
103,2020-09-19,0,Dhaka_inner
104,2020-09-18,1,Dhaka_inner
105,2020-09-17,0,Dhaka_inner
106,2020-09-16,1,Dhaka_inner
107,2020-09-15,1,Dhaka_inner
108,2020-09-14,0,Dhaka_inner
109,2020-09-13,1,Dhaka_inner
110,2020-09-12,0,Dhaka_inner
111,2020-09-11,0,Dhaka_inner
112,2020-09-10,1,Dhaka_inner
113,2020-09-09,1,Dhaka_inner
114,2020-09-08,4,Dhaka_inner
115,2020-09-07,2,Dhaka_inner
116,2020-09-06,3,Dhaka_inner
117,2020-09-05,3,Dhaka_inner
118,2020-09-04,1,Dhaka_inner
119,2020-09-03,2,Dhaka_inner
120,2020-09-02,2,Dhaka_inner
121,2020-09-01,1,Dhaka_inner
122,2020-08-31,3,Dhaka_inner
123,2020-08-30,0,Dhaka_inner
124,2020-08-29,0,Dhaka_inner
125,2020-08-28,1,Dhaka_inner
126,2020-08-27,2,Dhaka_inner
127,2020-08-26,1,Dhaka_inner
128,2020-08-25,3,Dhaka_inner
129,2020-08-24,1,Dhaka_inner
130,2020-08-23,5,Dhaka_inner
131,2020-08-22,3,Dhaka_inner
132,2020-08-21,2,Dhaka_inner
133,2020-08-20,1,Dhaka_inner
134,2020-08-19,1,Dhaka_inner
135,2020-08-18,2,Dhaka_inner
136,2020-08-17,2,Dhaka_inner
137,2020-08-16,4,Dhaka_inner
138,2020-08-15,1,Dhaka_inner
139,2020-08-14,5,Dhaka_inner
140,2020-08-13,1,Dhaka_inner
141,2020-08-12,5,Dhaka_inner
142,2020-08-11,4,Dhaka_inner
143,2020-08-10,0,Dhaka_inner
144,2020-08-09,2,Dhaka_inner
145,2020-08-08,1,Dhaka_inner
146,2020-08-07,4,Dhaka_inner
147,2020-08-06,0,Dhaka_inner
148,2020-08-05,6,Dhaka_inner
149,2020-08-04,0,Dhaka_inner
150,2020-08-03,1,Dhaka_inner
151,2020-08-02,5,Dhaka_inner
152,2020-08-01,0,Dhaka_inner
153,2020-07-31,0,Dhaka_inner
154,2020-07-30,2,Dhaka_inner
155,2020-07-29,2,Dhaka_inner
156,2020-07-28,2,Dhaka_inner
157,2020-07-27,0,Dhaka_inner
158,2020-07-26,1,Dhaka_inner
159,2020-07-25,2,Dhaka_inner
160,2020-07-24,1,Dhaka_inner
161,2020-07-23,0,Dhaka_inner
162,2020-07-22,0,Dhaka_inner
163,2020-07-21,1,Dhaka_inner
164,2020-07-20,0,Dhaka_inner
165,2020-07-19,2,Dhaka_inner
166,2020-07-18,0,Dhaka_inner
167,2020-07-17,0,Dhaka_inner
168,2020-07-16,1,Dhaka_inner
169,2020-07-15,0,Dhaka_inner
170,2020-07-14,0,Dhaka_inner
171,2020-07-13,2,Dhaka_inner
172,2020-07-12,1,Dhaka_inner
173,2020-07-11,0,Dhaka_inner
174,2020-07-10,0,Dhaka_inner
175,2020-07-09,2,Dhaka_inner
176,2020-07-08,0,Dhaka_inner
177,2020-07-07,0,Dhaka_inner
178,2020-07-06,0,Dhaka_inner
179,2020-07-05,1,Dhaka_inner
180,2020-07-04,0,Dhaka_inner
181,2020-07-03,0,Dhaka_inner
182,2020-07-02,0,Dhaka_inner
183,2020-07-01,0,Dhaka_inner
184,2020-06-30,4,Dhaka_inner
185,2020-06-29,0,Dhaka_inner
186,2020-06-28,1,Dhaka_inner
187,2020-06-27,0,Dhaka_inner
188,2020-06-26,0,Dhaka_inner
189,2020-06-25,3,Dhaka_inner
190,2020-06-24,0,Dhaka_inner
191,2020-06-23,2,Dhaka_inner
192,2020-06-22,0,Dhaka_inner
193,2020-06-21,1,Dhaka_inner
194,2020-06-20,2,Dhaka_inner
195,2020-06-19,0,Dhaka_inner
196,2020-06-18,0,Dhaka_inner
197,2020-06-17,0,Dhaka_inner
198,2020-06-16,1,Dhaka_inner
199,2020-06-15,0,Dhaka_inner
200,2020-06-14,0,Dhaka_inner
201,2020-06-13,0,Dhaka_inner
202,2020-06-12,0,Dhaka_inner
203,2020-06-11,1,Dhaka_inner
204,2020-06-10,1,Dhaka_inner
205,2020-06-09,1,Dhaka_inner
