,date,Infected,Area,temp
0,2019-08-24,25,Mymenshing,28.7
1,2019-08-25,26,Mymenshing,29.9
2,2019-08-26,17,Mymenshing,30.7
3,2019-08-27,19,Mymenshing,31.3
4,2019-08-28,18,Mymenshing,30.2
5,2019-08-29,29,Mymenshing,31
6,2019-08-30,20,Mymenshing,30.9
7,2019-08-31,14,Mymenshing,29.8
8,2019-09-01,19,Mymenshing,31.8
9,2019-09-02,16,Mymenshing,30.2
10,2019-09-03,14,Mymenshing,30.3
11,2019-09-04,21,Mymenshing,29.5
12,2019-09-05,22,Mymenshing,29.7
13,2019-09-06,17,Mymenshing,30.1
14,2019-09-07,13,Mymenshing,29.1
15,2019-09-08,23,Mymenshing,29.2
16,2019-09-09,19,Mymenshing,29.2
17,2019-09-10,13,Mymenshing,29.9
18,2019-09-11,7,Mymenshing,29.7
19,2019-09-12,17,Mymenshing,28
20,2019-09-13,8,Mymenshing,26.7
21,2019-09-14,7,Mymenshing,28.7
22,2019-09-15,11,Mymenshing,28.8
23,2019-09-16,16,Mymenshing,27.3
24,2019-09-17,10,Mymenshing,28.5
25,2019-09-18,3,Mymenshing,30
26,2019-09-19,2,Mymenshing,31.1
27,2019-09-20,10,Mymenshing,31.2
28,2019-09-21,2,Mymenshing,30.6
29,2019-09-22,7,Mymenshing,29
30,2019-09-23,7,Mymenshing,27
31,2019-09-24,12,Mymenshing,27.4
32,2019-09-25,5,Mymenshing,25.7
33,2019-09-26,9,Mymenshing,28.1
34,2019-09-27,7,Mymenshing,28.1
35,2019-09-28,2,Mymenshing,26.1
36,2019-09-29,7,Mymenshing,25.6
37,2019-09-30,6,Mymenshing,26
38,2019-10-01,9,Mymenshing,26.2
39,2019-10-02,6,Mymenshing,27.2
40,2019-10-03,7,Mymenshing,28.4
41,2019-10-04,6,Mymenshing,28.1
42,2019-10-05,4,Mymenshing,26.7
43,2019-10-06,4,Mymenshing,27.3
44,2019-10-07,3,Mymenshing,27.7
45,2019-10-08,4,Mymenshing,26.5
46,2019-10-09,6,Mymenshing,25.4
47,2019-10-10,5,Mymenshing,25.4
48,2019-10-11,3,Mymenshing,27
49,2019-10-12,5,Mymenshing,27.7
50,2019-10-13,4,Mymenshing,27.1
51,2019-10-14,2,Mymenshing,27.5
52,2019-10-15,6,Mymenshing,28.4
53,2019-10-16,6,Mymenshing,27.5
54,2019-10-17,5,Mymenshing,28.2
55,2019-10-18,4,Mymenshing,28.3
56,2019-10-19,3,Mymenshing,28.4
57,2019-10-20,6,Mymenshing,28.1
58,2019-10-21,4,Mymenshing,27.2
59,2019-10-22,4,Mymenshing,27.2
60,2019-10-23,4,Mymenshing,26.9
61,2019-10-24,4,Mymenshing,21.4
62,2019-10-25,1,Mymenshing,21.9
63,2019-10-26,3,Mymenshing,23.2
64,2019-10-27,10,Mymenshing,23.1
65,2019-10-28,1,Mymenshing,24.9
66,2019-10-29,5,Mymenshing,26.1
67,2019-10-30,11,Mymenshing,25.9
68,2019-10-31,1,Mymenshing,25.3
69,2019-11-01,4,Mymenshing,25.7
70,2019-11-02,6,Mymenshing,26
71,2019-11-03,5,Mymenshing,25.4
72,2019-11-04,1,Mymenshing,25.4
73,2019-11-05,2,Mymenshing,25.6
74,2019-11-06,4,Mymenshing,24.7
75,2019-11-07,3,Mymenshing,24.3
76,2019-11-08,1,Mymenshing,25.6
77,2019-11-09,3,Mymenshing,23.9
78,2019-11-10,4,Mymenshing,23.9
79,2019-11-11,2,Mymenshing,25.5
80,2019-11-12,2,Mymenshing,24
81,2019-11-13,4,Mymenshing,24.9
82,2019-11-14,2,Mymenshing,24.2
83,2019-11-15,1,Mymenshing,24.1
84,2019-11-16,1,Mymenshing,23.9
85,2019-11-17,3,Mymenshing,23.3
86,2019-11-18,2,Mymenshing,23.2
87,2019-11-19,3,Mymenshing,22.2
88,2019-11-20,1,Mymenshing,22.2
89,2019-11-21,1,Mymenshing,22.3
90,2019-11-22,1,Mymenshing,22.4
91,2019-11-23,1,Mymenshing,22.1
92,2019-11-24,3,Mymenshing,22
93,2019-11-25,1,Mymenshing,22.4
94,2019-11-26,5,Mymenshing,22.4
95,2019-11-27,1,Mymenshing,22.7
96,2019-11-28,3,Mymenshing,22.7
97,2019-11-29,0,Mymenshing,22.6
98,2019-11-30,1,Mymenshing,22.1
99,2019-12-01,1,Mymenshing,20.9
100,2019-12-02,2,Mymenshing,19.7
101,2019-12-03,1,Mymenshing,19.3
102,2019-12-04,0,Mymenshing,20.2
103,2019-12-05,0,Mymenshing,20.3
104,2019-12-06,0,Mymenshing,20.3
105,2019-12-07,2,Mymenshing,20.7
106,2019-12-08,0,Mymenshing,21.2
107,2019-12-09,1,Mymenshing,20.5
108,2019-12-10,2,Mymenshing,19.1
109,2019-12-11,0,Mymenshing,18.7
110,2019-12-12,1,Mymenshing,18.6
111,2019-12-13,2,Mymenshing,18.6
112,2019-12-14,1,Mymenshing,19.7
113,2019-12-15,1,Mymenshing,19.1
114,2019-12-16,1,Mymenshing,19.9
115,2019-12-17,1,Mymenshing,17.9
116,2019-12-18,2,Mymenshing,16.2
117,2019-12-19,0,Mymenshing,14.7
118,2019-12-20,0,Mymenshing,14.9
119,2019-12-21,1,Mymenshing,15.2
120,2019-12-22,1,Mymenshing,16
121,2019-12-23,1,Mymenshing,15.7
122,2019-12-24,0,Mymenshing,13.7
123,2019-12-25,0,Mymenshing,14.4
124,2019-12-26,0,Mymenshing,15.6
125,2019-12-27,0,Mymenshing,15.5
126,2019-12-28,0,Mymenshing,15.6
127,2019-12-29,0,Mymenshing,17.3
128,2019-12-30,0,Mymenshing,17
